name,t0,cell,val_FC,val_INT
delay,0.0,eff2,0.02279080959239639,0.02507945053219507
delay,0.10344827586206896,eff2,0.05310480811527226,0.059687439286254085
delay,0.20689655172413793,eff2,0.09671172433934297,0.11153582768019343
delay,0.3103448275862069,eff2,0.1473004156639604,0.17517060103460635
delay,0.41379310344827586,eff2,0.19558308888222553,0.24066442837971747
delay,0.5172413793103449,eff2,0.231844292368507,0.29524856268249566
delay,0.6206896551724138,eff2,0.24882321209965502,0.32697699008301606
delay,0.7241379310344828,eff2,0.24424192352885404,0.32965308508097824
delay,0.8275862068965517,eff2,0.22123980270740207,0.30516665080094085
delay,0.9310344827586207,eff2,0.18649545131828899,0.26170074145189626
delay,1.0344827586206897,eff2,0.1478710066444915,0.20969833144648165
delay,1.1379310344827587,eff2,0.11119483561623678,0.15825018922275114
delay,1.2413793103448276,eff2,0.07961798135502413,0.11326896921375451
delay,1.3448275862068966,eff2,0.05452155852183535,0.07736834221092914
delay,1.4482758620689655,eff2,0.03585933036697356,0.05069975434449059
delay,1.5517241379310345,eff2,0.02273931284038211,0.03202003136372433
delay,1.6551724137931034,eff2,0.013953930673768405,0.019566354495998195
delay,1.7586206896551724,eff2,0.008312768550416683,0.011607566969346284
delay,1.8620689655172413,eff2,0.0048208270292399436,0.00670470514081789
delay,1.9655172413793103,eff2,0.002728737993504343,0.003780337902748232
delay,2.0689655172413794,eff2,0.0015105703411325277,0.0020851813308261358
delay,2.1724137931034484,eff2,0.0008195503974936236,0.0011273066913427554
delay,2.2758620689655173,eff2,0.0004364635364148828,0.0005983773682846083
delay,2.3793103448275863,eff2,0.00022852769621019287,0.0003123273295791984
delay,2.4827586206896552,eff2,0.00011779103153820858,0.00016050687970348143
delay,2.586206896551724,eff2,5.984696458360972e-05,8.131783898235323e-05
delay,2.689655172413793,eff2,2.999411282211817e-05,4.064300451106506e-05
delay,2.793103448275862,eff2,1.4848969057373873e-05,2.0067137520007883e-05
delay,2.896551724137931,eff2,7.265192126473807e-06,9.792762341032102e-06
delay,3.0,eff2,3.5166555926446907e-06,4.727980964680523e-06
nodelay,0.0,eff2,0.15662920437500866,0.20939814590172362
nodelay,0.10344827586206896,eff2,0.15231220238765647,0.20845198303491347
nodelay,0.20689655172413793,eff2,0.13742150624244637,0.18795381446696308
nodelay,0.3103448275862069,eff2,0.12393192813363296,0.16947031988861033
nodelay,0.41379310344827586,eff2,0.11166120524705189,0.15280342834827237
nodelay,0.5172413793103449,eff2,0.1007625757840121,0.13777466850172754
nodelay,0.6206896551724138,eff2,0.09086232480364509,0.12422293130611589
nodelay,0.7241379310344828,eff2,0.08185904117856757,0.11200311147845371
nodelay,0.8275862068965517,eff2,0.07388207646026757,0.10098439651901697
nodelay,0.9310344827586207,eff2,0.06661633092379554,0.09104867944940115
nodelay,1.0344827586206897,eff2,0.06002572045130175,0.08208956548793017
nodelay,1.1379310344827587,eff2,0.05417202678437377,0.07401099651111004
nodelay,1.2413793103448276,eff2,0.048839708631985834,0.0667263484440806
nodelay,1.3448275862068966,eff2,0.04401615722989577,0.060157732552197196
nodelay,1.4482758620689655,eff2,0.039719708724373526,0.05423487757636308
nodelay,1.5517241379310345,eff2,0.035806514094931435,0.04889404696386218
nodelay,1.6551724137931034,eff2,0.03227622271175962,0.044078173798379805
nodelay,1.7586206896551724,eff2,0.029122745752675136,0.03973572260803432
nodelay,1.8620689655172413,eff2,0.026251037890426043,0.03582004711368475
nodelay,1.9655172413793103,eff2,0.023667335613847068,0.03228933547001572
nodelay,2.0689655172413794,eff2,0.02135276727774163,0.029105578350667682
nodelay,2.1724137931034484,eff2,0.01924544283701253,0.02623483028551249
nodelay,2.2758620689655173,eff2,0.017354491493006774,0.023646332260192582
nodelay,2.3793103448275863,eff2,0.01565568254124211,0.02131217380304079
nodelay,2.4827586206896552,eff2,0.014109319760772024,0.019207526685987852
nodelay,2.586206896551724,eff2,0.012725353432045367,0.0173097416496229
nodelay,2.689655172413793,eff2,0.011478549618964287,0.015598540919797677
nodelay,2.793103448275862,eff2,0.010343736435908163,0.014055400223061565
nodelay,2.896551724137931,eff2,0.00933085306951048,0.012664115764061956
nodelay,3.0,eff2,0.008415732756571724,0.011409372895609449
