name,SD,cell,val_FC,val_INT,t0
delay,1,eff2,0.15294979400078496,0.20917245061947737,0.1
delay,2,eff2,0.1400535404542839,0.18084828433051514,0.1
delay,3,eff2,0.12223980386218311,0.15150241400308306,0.1
delay,4,eff2,0.10684183128339056,0.12874403713097932,0.1
delay,5,eff2,0.09387924950514123,0.11086539263199063,0.1
delay,6,eff2,0.08286948977934087,0.09639163376048254,0.1
delay,7,eff2,0.07342084325609854,0.08439725824040556,0.1
delay,8,eff2,0.06524441430328627,0.07428959705052973,0.1
delay,9,eff2,0.058122449604535005,0.06566639506102884,0.1
delay,10,eff2,0.05188666130648219,0.05824098753301177,0.1
delay,1,eff2,0.03771693772052248,0.051495368161318555,1.5
delay,2,eff2,0.045832140282146855,0.06325976207581718,1.5
delay,3,eff2,0.0472272983109249,0.06588948568169029,1.5
delay,4,eff2,0.045832100882590016,0.06456998914780104,1.5
delay,5,eff2,0.04318268684356902,0.061376927442037654,1.5
delay,6,eff2,0.040113493559982005,0.05733203936359732,1.5
delay,7,eff2,0.03704265717070515,0.052981033439455816,1.5
delay,8,eff2,0.034083822006478026,0.04862376009940206,1.5
delay,9,eff2,0.031287207627015035,0.04442417605234278,1.5
delay,10,eff2,0.028678769753673727,0.04046730837558277,1.5
delay,1,eff2,0.08394065478295804,0.11474248917072977,0.7
delay,2,eff2,0.12139379446185705,0.16555280832427122,0.7
delay,3,eff2,0.14818235723176504,0.20162783602473044,0.7
delay,4,eff2,0.16944708681266504,0.2300529240949521,0.7
delay,5,eff2,0.18716256949944413,0.25355818590312057,0.7
delay,6,eff2,0.2023436265708894,0.27355104819399234,0.7
delay,7,eff2,0.2155977073239247,0.2908760610122204,0.7
delay,8,eff2,0.22732473824814392,0.30609052930095637,0.7
delay,9,eff2,0.23780572157204766,0.3195870830429353,0.7
delay,10,eff2,0.24724763323164056,0.3316549946437316,0.7
