time,cell,value,name,t0
0.0,eff1,0.0,delay,0.1
0.01,eff1,1.2364916119403874e-15,delay,0.1
0.02,eff1,1.231530759191258e-12,delay,0.1
0.03,eff1,6.190658861868731e-11,delay,0.1
0.04,eff1,9.895863654490597e-10,delay,0.1
0.05,eff1,7.666363256535132e-09,delay,0.1
0.06,eff1,2.9600871004145667e-08,delay,0.1
0.07,eff1,5.519680770860763e-08,delay,0.1
0.08,eff1,6.901571302331007e-08,delay,0.1
0.09,eff1,7.424968068133834e-08,delay,0.1
0.1,eff1,7.609963627825123e-08,delay,0.1
0.11,eff1,7.744252234065181e-08,delay,0.1
0.12,eff1,7.994104319027286e-08,delay,0.1
0.13,eff1,8.51235202322471e-08,delay,0.1
0.14,eff1,9.499798185383831e-08,delay,0.1
0.15,eff1,1.124591984151147e-07,delay,0.1
0.16,eff1,1.4164597111421471e-07,delay,0.1
0.17,eff1,1.8831379405962696e-07,delay,0.1
0.18,eff1,2.6024207477664897e-07,delay,0.1
0.19,eff1,3.676763876819984e-07,delay,0.1
0.2,eff1,5.237988875422191e-07,delay,0.1
0.21,eff1,7.452167131881145e-07,delay,0.1
0.22,eff1,1.0524564160908597e-06,delay,0.1
0.23,eff1,1.4704513962312783e-06,delay,0.1
0.24,eff1,2.029008818782566e-06,delay,0.1
0.25,eff1,2.763242459892512e-06,delay,0.1
0.26,eff1,3.713958360576623e-06,delay,0.1
0.27,eff1,4.927980993806797e-06,delay,0.1
0.28,eff1,6.458408842518612e-06,delay,0.1
0.29,eff1,8.364789791928399e-06,delay,0.1
0.3,eff1,1.0713208451624116e-05,delay,0.1
0.31,eff1,1.3576279428937466e-05,delay,0.1
0.32,eff1,1.703304257777401e-05,delay,0.1
0.33,eff1,2.1168758293641083e-05,delay,0.1
0.34,eff1,2.6074602957324014e-05,delay,0.1
0.35000000000000003,eff1,3.1847266594429145e-05,delay,0.1
0.36,eff1,3.858845667056858e-05,delay,0.1
0.37,eff1,4.64043136443521e-05,delay,0.1
0.38,eff1,5.540474542215205e-05,delay,0.1
0.39,eff1,6.570268917689553e-05,delay,0.1
0.4,eff1,7.741331009222085e-05,delay,0.1
0.41000000000000003,eff1,9.065314746432309e-05,delay,0.1
0.42,eff1,0.00010553921923403453,delay,0.1
0.43,eff1,0.00012218809643403536,delay,0.1
0.44,eff1,0.00014071495922829094,delay,0.1
0.45,eff1,0.00016123264620468235,delay,0.1
0.46,eff1,0.0001838507083724752,delay,0.1
0.47000000000000003,eff1,0.00020867447893152156,delay,0.1
0.48,eff1,0.00023580416933969366,delay,0.1
0.49,eff1,0.00026533400153107257,delay,0.1
0.5,eff1,0.0002973513853608633,delay,0.1
0.51,eff1,0.0003319361495708428,delay,0.1
0.52,eff1,0.00036915983440028284,delay,0.1
0.53,eff1,0.0004090850591596186,delay,0.1
0.54,eff1,0.00045176502593846266,delay,0.1
0.55,eff1,0.000497243604290756,delay,0.1
0.56,eff1,0.0005455594595051697,delay,0.1
0.5700000000000001,eff1,0.0005967813078190884,delay,0.1
0.58,eff1,0.0006512857175121534,delay,0.1
0.59,eff1,0.0007119235746003162,delay,0.1
0.6,eff1,0.0008008571113987649,delay,0.1
0.61,eff1,0.001089936792329067,delay,0.1
0.62,eff1,0.002897247880642723,delay,0.1
0.63,eff1,0.015899658506106293,delay,0.1
0.64,eff1,0.09470926436212472,delay,0.1
0.65,eff1,0.34991416291354954,delay,0.1
0.66,eff1,0.7438652006481137,delay,0.1
0.67,eff1,1.1818180216612166,delay,0.1
0.68,eff1,1.6361874957266918,delay,0.1
0.6900000000000001,eff1,2.102104949508574,delay,0.1
0.7000000000000001,eff1,2.578390234510054,delay,0.1
0.71,eff1,3.0643606459149586,delay,0.1
0.72,eff1,3.5593731494363263,delay,0.1
0.73,eff1,4.0627630624833,delay,0.1
0.74,eff1,4.57383852349349,delay,0.1
0.75,eff1,5.091882532129506,delay,0.1
0.76,eff1,5.616156216831748,delay,0.1
0.77,eff1,6.145902258195902,delay,0.1
0.78,eff1,6.680348326197265,delay,0.1
0.79,eff1,7.218710492394041,delay,0.1
0.8,eff1,7.760196594883199,delay,0.1
0.81,eff1,8.30400953603996,delay,0.1
0.8200000000000001,eff1,8.849350495366268,delay,0.1
0.8300000000000001,eff1,9.395422041414438,delay,0.1
0.84,eff1,9.941431128437976,delay,0.1
0.85,eff1,10.48659196510442,delay,0.1
0.86,eff1,11.03012874427405,delay,0.1
0.87,eff1,11.571278224488397,delay,0.1
0.88,eff1,12.109292155410587,delay,0.1
0.89,eff1,12.643439541005023,delay,0.1
0.9,eff1,13.173008735726963,delay,0.1
0.91,eff1,13.697309370405197,delay,0.1
0.92,eff1,14.21567410583651,delay,0.1
0.93,eff1,14.727460213364004,delay,0.1
0.9400000000000001,eff1,15.23205098287857,delay,0.1
0.9500000000000001,eff1,15.728856959760753,delay,0.1
0.96,eff1,16.2173170132683,delay,0.1
0.97,eff1,16.69689923977083,delay,0.1
0.98,eff1,17.167101705038686,delay,0.1
0.99,eff1,17.62745303050897,delay,0.1
1.0,eff1,18.07751282907898,delay,0.1
1.01,eff1,18.516871996519775,delay,0.1
1.02,eff1,18.945152865061594,delay,0.1
1.03,eff1,19.36200922608303,delay,0.1
1.04,eff1,19.7671262291405,delay,0.1
1.05,eff1,20.160220164807434,delay,0.1
1.06,eff1,20.5410381389587,delay,0.1
1.07,eff1,20.90935764623897,delay,0.1
1.08,eff1,21.264986050498837,delay,0.1
1.09,eff1,21.607759979973906,delay,0.1
1.1,eff1,21.937544644924976,delay,0.1
1.11,eff1,22.25423308535556,delay,0.1
1.12,eff1,22.557745356281462,delay,0.1
1.1300000000000001,eff1,22.848027657850505,delay,0.1
1.1400000000000001,eff1,23.12505141740189,delay,0.1
1.1500000000000001,eff1,23.38881233032019,delay,0.1
1.16,eff1,23.639329366280133,delay,0.1
