,gene,best_fit
1597,Cpt1b,other
1607,Creg1,other
1614,Crlf3,other
1616,Cryab,other
1625,Csf1r,other
1629,Csk,other
1631,Csnk1e,other
1640,Cstb,other
1642,Cstf2,other
1646,Ctdsp1,other
1651,Cth,other
1653,Ctnna2,other
1655,Ctnnb1,other
1661,Ctsb,other
1668,Cttnbp2nl,other
1674,Cuta,other
1676,Cux1,other
1681,Cxcl14,other
1690,Cyb5,other
1704,Cyp2c65,other
1705,Cyp2c67,other
1708,Cyp2d40,other
1714,Cyp3a13,other
1720,Cytip,other
1733,D130040H23Rik,other
1755,D4Wsu132e,other
1756,D5Ertd135e,other
1767,Dap3,other
1776,Dbi,other
1779,Dbp,other
1780,Dbt,other
1782,Dci,other
1804,Ddx10,other
1808,Ddx25,other
1810,Ddx27,other
1817,Deadc1,other
1819,Decr1,other
1824,Dek,other
1834,Dgat1,other
1835,Dgat2,other
1845,Dhps,other
1846,Dhrs4,other
1864,Dis3l2,other
1872,Dlst,other
1873,Dmkn,other
1876,Dnahc11,other
1879,Dnajb4,other
1880,Dnajb9,other
1884,Dnajc28,other
1892,Dnase2b,other
1893,Dnd1,other
1899,Dock11,other
1901,Dock6,other
1903,Dok1,other
1912,Dpep1,other
1916,Dpp10,other
1925,Dpysl4,other
1927,Drg2,other
1933,Dsp,other
1934,Dst,other
1938,Dtx3l,other
1939,Dtx4,other
1940,Duox2,other
1943,Dusp10,other
1953,Dusp7,other
1965,E230025N22Rik,other
1969,E2f3,other
1980,EG226654,other
1982,EG237412,other
1985,EG240916,other
1996,EG384525,other
2006,EG433224,other
2009,EG434078,other
2014,EG545253,other
2021,EG624124,other
2030,EG629595,other
2037,EG665369,other
2038,EG665378,other
2040,EG665685,other
2048,ENSMUSG00000054212,other
2050,Eaf2,other
2053,Ebna1bp2,other
2055,Ebpl,other
2064,Edg7,other
2073,Efemp2,other
2074,Efha1,other
2075,Efhc1,other
2080,Eftud1,other
2081,Eftud2,other
2083,Egfbp2,other
2085,Egln3,other
2091,Ehd4,other
2095,Eid1,other
2103,Eif2b5,other
2115,Eif5b,other
2127,Elovl4,other
2146,Ensa,other
2151,Epb4.1l1,other
2166,Eps15,other
2168,Eraf,other
2173,Ercc4,other
2185,Esco1,other
2193,Etfdh,other
2195,Ets1,other
2200,Evc2,other
2202,Evi2a,other
2204,Evi5l,other
2221,F730047E07Rik,other
2223,Fabp3,other
2227,Fahd1,other
2230,Fam105a,other
2244,Fam135a,other
2245,Fam13b,other
2259,Fam84a,other
2265,Farsa,other
2268,Fastkd1,other
2271,Fbp1,other
2275,Fbxl22,other
2278,Fbxo18,other
2279,Fbxo2,other
2283,Fbxo3,other
2284,Fbxo31,other
2287,Fbxo34,other
2295,Fcer2a,other
2300,Fcho1,other
2301,Fcho2,other
2308,Fdps,other
2310,Fer1l3,other
2326,Fgfbp3,other
2331,Fgl1,other
2333,Fgr,other
2334,Fh1,other
2339,Figf,other
2344,Fkbp11,other
2346,Fkbp7,other
2348,Fktn,other
2351,Fli1,other
2360,Fmo1,other
2361,Fmo4,other
2362,Fmo5,other
2369,Fos,other
2372,Foxa2,other
2374,Foxf2,other
2380,Foxo1,other
2387,Frmd4b,other
2390,Fryl,other
2392,Fscn1,other
2393,Fst,other
2401,Furin,other
2402,Fus,other
2407,Fvt1,other
2422,Fzr1,other
2428,Gaa,other
2446,Galr2,other
2457,Gata6,other
2469,Gclm,other
2478,Gdf15,other
2513,Gli2,other
2515,Glipr1,other
2522,Gltscr2,other
2533,Gm2a,other
2536,Gm382,other
2554,Gnal,other
2557,Gnas,other
2565,Gng4,other
2569,Gnpda2,other
2573,Golga1,other
2577,Golim4,other
2581,Gorasp2,other
2582,Gosr2,other
2589,Gpbp1l1,other
2607,Gpr133,other
2608,Gpr146,other
2610,Gpr160,other
2616,Gpr22,other
2619,Gpr37l1,other
2625,Gpr89,other
2630,Gprin3,other
2636,Gramd3,other
2637,Gramd4,other
2642,Grem2,other
2648,Gripap1,other
2651,Grn,other
2666,Gsta4,other
2667,Gstk1,other
2673,Gsto1,other
2675,Gstp1,other
2676,Gstp2,other
2687,Gtf3a,other
2689,Gtf3c2,other
2694,Gtpbp8,other
2695,Gtrgeo22,other
2701,Gulp1,other
2734,H6pd,other
2746,Hbp1,other
2752,Hdac10,other
2764,Hectd2,other
2769,Herc2,other
2771,Herpud2,other
2773,Hes6,other
2775,Hexb,other
2786,Hhex,other
2792,Hint3,other
2793,Hip1,other
2795,Hisppd2a,other
2800,Hist1h2ad,other
2806,Hist1h2ao,other
2813,Hist1h2bk,other
2817,Hist1h4h,other
2825,Hist3h2a,other
2828,Hkdc1,other
2835,Hmgcr,other
2843,Hnrnph1,other
2844,Hnrnph3,other
2851,Hopx,other
2853,Hoxa7,other
2855,Hoxb4,other
2858,Hoxb9,other
2868,Hps1,other
2869,Hps5,other
2870,Hras1,other
2873,Hs3st1,other
2875,Hsd11b2,other
2877,Hsd17b2,other
2880,Hsd3b2,other
2891,Hspa9,other
2894,Hspb7,other
2903,Hyal2,other
