,gene,p,comp,f-test
0,0610007P08Rik.1,0.39324814178749146,expo_gamma,ns
1,0610007P14Rik,0.17063019676221503,expo_gamma,ns
2,0610007P14Rik.1,0.09641976440098654,expo_gamma,ns
3,0610007P14Rik.2,0.1425327215223121,expo_gamma,ns
4,0610007P22Rik.1,0.09924809046328231,expo_gamma,ns
5,0610009B22Rik,0.0002309070425949855,expo_gamma,sig
6,0610010E21Rik.1,0.015514965791084911,expo_gamma,sig
7,0610010K14Rik,0.03753731545607297,expo_gamma,sig
8,0610011F06Rik,0.2144062989245139,expo_gamma,ns
9,0610025P10Rik,0.09304493255764201,expo_gamma,ns
10,0610037D15Rik,0.057889022163836734,expo_gamma,ns
11,0610037L13Rik,0.0007307044378841443,expo_gamma,sig
12,0610037P05Rik,0.024447563657493343,expo_gamma,sig
13,0910001A06Rik.1,0.1079387661583715,expo_gamma,ns
14,1110001A07Rik,0.03146197707868159,expo_gamma,sig
15,1110007A13Rik.1,0.9999952142766834,expo_gamma,ns
16,1110007L15Rik,1.0,expo_gamma,ns
17,1110007L15Rik.1,0.9999821078672423,expo_gamma,ns
18,1110007L15Rik.2,0.00022272765818609486,expo_gamma,sig
19,1110007L15Rik.3,0.9999982345698931,expo_gamma,ns
20,1110007M04Rik,0.09632241113397855,expo_gamma,ns
21,1110008P14Rik,0.06137058761234615,expo_gamma,ns
22,1110014J01Rik,0.16859458985935016,expo_gamma,ns
23,1110018G07Rik,0.31738697076261957,expo_gamma,ns
24,1110037F02Rik.1,0.9098624666059337,expo_gamma,ns
25,1110038F14Rik,0.010830213568323699,expo_gamma,sig
26,1110038F14Rik.1,1.0,expo_gamma,ns
27,1110049B09Rik,0.0011404406991534222,expo_gamma,sig
28,1110059E24Rik,0.9999842961855272,expo_gamma,ns
29,1110059E24Rik.1,0.020935844870687115,expo_gamma,sig
30,1110059G10Rik,0.007913813997181163,expo_gamma,sig
31,1190005I06Rik,0.21950469737384948,expo_gamma,ns
32,1190005P17Rik.1,3.4508420914125537e-06,expo_gamma,sig
33,1190007F08Rik,0.06619270088591767,expo_gamma,ns
34,1200003C05Rik,0.9999981856690359,expo_gamma,ns
35,1200003C05Rik.1,0.4826539469735832,expo_gamma,ns
36,1200003C05Rik.2,0.51599512721118,expo_gamma,ns
37,1200003I07Rik.1,0.00938053198148514,expo_gamma,sig
38,1200003I07Rik.3,0.9999943659163737,expo_gamma,ns
39,1200003I07Rik.4,0.7581003829375015,expo_gamma,ns
40,1200009F10Rik,0.4670429079849516,expo_gamma,ns
41,1200013P24Rik,0.9999969103689816,expo_gamma,ns
42,1200014J11Rik,0.002777771425341191,expo_gamma,sig
43,1200016B10Rik,0.2776631990526328,expo_gamma,ns
44,1200016B10Rik.1,0.2644055200718133,expo_gamma,ns
45,1300010M03Rik.2,0.022748431038111527,expo_gamma,sig
46,1300018I05Rik,1.0,expo_gamma,ns
47,1500002O20Rik,0.13063609344512106,expo_gamma,ns
48,1500010J02Rik,0.01857857541295793,expo_gamma,sig
49,1500010J02Rik.1,0.018397584009503865,expo_gamma,sig
50,1500011H22Rik,0.1856807889073948,expo_gamma,ns
51,1500012F01Rik,0.9999953538517212,expo_gamma,ns
52,1500012F01Rik.1,0.999980151426152,expo_gamma,ns
53,1500032D16Rik,0.03429309943233483,expo_gamma,sig
54,1500032D16Rik.1,0.05326827463979067,expo_gamma,ns
55,1500032D16Rik.2,0.0008615637623734518,expo_gamma,sig
56,1600012H06Rik.1,8.09171697434552e-05,expo_gamma,sig
57,1600027N09Rik,0.009974263900496494,expo_gamma,sig
58,1700007K13Rik,0.11558554720703729,expo_gamma,ns
59,1700012G19Rik,0.007369192112059109,expo_gamma,sig
60,1700019D03Rik,0.00017510364858464023,expo_gamma,sig
61,1700019E19Rik,0.019634690466593274,expo_gamma,sig
62,1700019G17Rik.2,0.9252468780699116,expo_gamma,ns
63,1700019N12Rik,1.1425947893384247e-06,expo_gamma,sig
64,1700021C14Rik,0.15651890077791486,expo_gamma,ns
65,1700023B02Rik,0.04664311386244646,expo_gamma,sig
66,1700023B02Rik.1,0.019267565902567507,expo_gamma,sig
67,1700023B02Rik.2,3.5504441975087175e-05,expo_gamma,sig
68,1700025G04Rik,0.02561505643361839,expo_gamma,sig
69,1700025K23Rik,2.62242545290281e-06,expo_gamma,sig
70,1700027D21Rik,2.7561219109517587e-05,expo_gamma,sig
71,1700027J05Rik,0.2692455917704081,expo_gamma,ns
72,1700027N10Rik,3.3256171041329274e-05,expo_gamma,sig
73,1700027N10Rik.1,0.0002005338993010808,expo_gamma,sig
74,1700029G01Rik,1.0,expo_gamma,ns
75,1700029P11Rik,0.05847435104075582,expo_gamma,ns
76,1700037C18Rik,0.05539928716302678,expo_gamma,ns
77,1700045I19Rik,0.5951739260349731,expo_gamma,ns
78,1700047I17Rik1,0.4471185942134962,expo_gamma,ns
79,1700047I17Rik1.1,0.1348426015228189,expo_gamma,ns
80,1700054N08Rik,0.9999881174726362,expo_gamma,ns
81,1700065O13Rik.1,0.04077463399055481,expo_gamma,sig
82,1700066B19Rik,0.5152032688491663,expo_gamma,ns
83,1700067P10Rik,0.9999948135208073,expo_gamma,ns
