,gene,bimodal,expo,gamma,longtail,other,winner
133,1700020L24Rik,,,2.0,,,gamma
134,1700021C14Rik,,1.0,1.0,,2.0,other
135,1700023B02Rik,,2.0,3.0,,5.0,other
136,1700025G04Rik,,2.0,3.0,,2.0,gamma
137,1700025K23Rik,,,5.0,,,gamma
138,1700027D21Rik,,,3.0,,,gamma
139,1700027J05Rik,,3.0,1.0,,,expo
140,1700027N10Rik,,1.0,4.0,,,gamma
141,1700028I16Rik,1.0,,,,,bimodal
142,1700029G01Rik,,,,2.0,1.0,longtail
143,1700029H14Rik,,,,,2.0,other
144,1700030J22Rik,,,1.0,,,gamma
145,1700030K09Rik,,,,,3.0,other
146,1700034H14Rik,,,1.0,,,gamma
147,1700034H15Rik,,1.0,,,,expo
148,1700045I19Rik,,2.0,,1.0,,expo
149,1700047I17Rik1,,2.0,2.0,,3.0,other
150,1700047K16Rik,,1.0,,,,expo
151,1700048O20Rik,,,1.0,,,gamma
152,1700049G17Rik,,,1.0,,,gamma
153,1700052K11Rik,,1.0,,,,expo
154,1700057H21Rik,,,1.0,,,gamma
155,1700065O13Rik,,,2.0,,3.0,other
156,1700066B19Rik,,4.0,2.0,,,expo
157,1700071K01Rik,,1.0,3.0,,1.0,gamma
158,1700071K01Rik ,,,2.0,,,gamma
159,1700086L19Rik,,1.0,,,,expo
160,1700088E04Rik,,,2.0,,3.0,other
161,1700093K21Rik,,,1.0,1.0,2.0,other
162,1700094D03Rik,,2.0,,,,expo
163,1700097N02Rik,,1.0,2.0,1.0,1.0,gamma
164,1700101I11Rik,,,1.0,,,gamma
165,1700102P08Rik,,1.0,4.0,,,gamma
166,1700109H08Rik,,3.0,2.0,,5.0,other
167,1700112E06Rik,,,1.0,,,gamma
168,1700113I22Rik,,3.0,4.0,,,gamma
169,1700123A16Rik,,,1.0,,,gamma
170,1700123D08Rik,,,1.0,,,gamma
171,1700123O20Rik,,,,,4.0,other
172,1700127D06Rik,,2.0,,1.0,1.0,expo
173,1810007P19Rik,,,4.0,,,gamma
174,1810009A15Rik,,1.0,2.0,,,gamma
175,1810009J06Rik,,1.0,2.0,,1.0,gamma
176,1810009N02Rik,,2.0,1.0,,3.0,other
177,1810009O10Rik,,,1.0,,3.0,other
178,1810010H24Rik,,1.0,,,,expo
