,gene,bimodal,expo,gamma,longtail,other,winner
3634,E030049G20Rik,,,3.0,,1.0,gamma
3635,E130012A19Rik,,,2.0,,,gamma
3636,E130016E03Rik,,,1.0,,,gamma
3637,E130018N17Rik,,,,,1.0,other
3638,E130102H24Rik,1.0,,,,,bimodal
3639,E130208F15Rik,,,,,1.0,other
3640,E130215H24Rik,,,1.0,,,gamma
3641,E130303B06Rik,,,4.0,,,gamma
3642,E130307A14Rik,,,,,1.0,other
3643,E130308A19Rik,,,1.0,,,gamma
3644,E130309D02Rik,,2.0,1.0,2.0,3.0,other
3645,E130311K13Rik,,1.0,2.0,,,gamma
3646,E230016K23Rik,,,1.0,,,gamma
3647,E230025N22Rik,,,,,1.0,other
3648,E230029C05Rik,,,1.0,,,gamma
3649,E2f1,,1.0,7.0,,,gamma
3650,E2f2,,,1.0,,,gamma
3651,E2f3,1.0,2.0,3.0,,2.0,gamma
3652,E330018D03Rik,,,1.0,,,gamma
3653,E330020D12Rik,,1.0,,,,expo
3654,E330036I19Rik,,1.0,,,,expo
3655,E430002G05Rik,,1.0,,,,expo
3656,E430004N04Rik,,1.0,,,,expo
3657,E430018J23Rik,,,1.0,,4.0,other
3658,E430028B21Rik,,,1.0,,,gamma
3659,E4f1,,6.0,1.0,,1.0,expo
3660,EG209380,,,,4.0,,longtail
3661,EG215208,,,1.0,,,gamma
3662,EG217246,,,1.0,,,gamma
3663,EG226654,,,,,1.0,other
3664,EG237361,,,1.0,,,gamma
3665,EG237412,,,,,1.0,other
3666,EG240038,,,1.0,,,gamma
3667,EG240327,,2.0,4.0,,3.0,gamma
3668,EG240916,,,,,1.0,other
3669,EG244911,,,1.0,,,gamma
3670,EG245190,,,1.0,,,gamma
3671,EG268795,,,1.0,,,gamma
3672,EG269105,,,1.0,,,gamma
3673,EG277333,,,1.0,,,gamma
3674,EG317677,,,1.0,,,gamma
3675,EG328644,,,1.0,,,gamma
3676,EG330305,,,3.0,,1.0,gamma
3677,EG330503,,,1.0,,3.0,other
3678,EG331493,,,1.0,,3.0,other
3679,EG381438,,,1.0,,,gamma
3680,EG382161,,,1.0,,,gamma
3681,EG382843,,,1.0,,,gamma
3682,EG384525,,,,,1.0,other
3683,EG384814,,,1.0,,,gamma
3684,EG432448,,,1.0,,,gamma
3685,EG432534,,1.0,,,,expo
3686,EG432555,,,1.0,,,gamma
3687,EG432637,1.0,,1.0,,2.0,other
3688,EG432649,,1.0,,,,expo
3689,EG432681,,,1.0,,,gamma
3690,EG432721,,,1.0,,,gamma
3691,EG432879,,,5.0,,,gamma
3692,EG433016,,,4.0,,,gamma
3693,EG433182,,2.0,3.0,,,gamma
3694,EG433224,,,,,1.0,other
3695,EG433229,,,1.0,,,gamma
3696,EG433633,,,1.0,,,gamma
3697,EG433923,,3.0,,,1.0,expo
3698,EG434078,,,,,1.0,other
3699,EG434168,,1.0,,,,expo
3700,EG434402,,,1.0,,,gamma
3701,EG434858,,1.0,,,,expo
3702,EG545216,,,1.0,,,gamma
3703,EG545253,1.0,,,,,bimodal
3704,EG545370,,2.0,,1.0,1.0,expo
3705,EG545878,,,1.0,,,gamma
3706,EG546143,,,1.0,,,gamma
3707,EG547109,,1.0,1.0,,2.0,other
3708,EG620119,,,1.0,,,gamma
3709,EG622339,,2.0,3.0,,,gamma
3710,EG623818,,1.0,,,,expo
3711,EG624124,,,,,1.0,other
3712,EG624866,,4.0,,1.0,,expo
3713,EG625349,,,1.0,,,gamma
3714,EG625917,,,1.0,,,gamma
3715,EG626175,,,1.0,,,gamma
3716,EG626367,,,1.0,,,gamma
3717,EG627299,,,1.0,,,gamma
3718,EG627624,,,1.0,,,gamma
3719,EG629383,,,1.0,,,gamma
3720,EG629595,,,,,1.0,other
3721,EG630499,,,1.0,,,gamma
3722,EG631304,,1.0,,,,expo
3723,EG632778,,,1.0,,,gamma
3724,EG632802,,,1.0,,,gamma
3725,EG633570,,1.0,,,,expo
3726,EG633640,,,,,4.0,other
3727,EG633692,,,1.0,,,gamma
3728,EG634650,,,4.0,,,gamma
3729,EG638695,,1.0,1.0,,2.0,other
3730,EG665369,,,,,1.0,other
3731,EG665378,,,4.0,,1.0,gamma
3732,EG665509,,,1.0,,,gamma
3733,EG665685,,,,,1.0,other
3734,EG666231,,1.0,,,,expo
3735,EG666577,,,1.0,,,gamma
3736,EG667410,,1.0,,,,expo
3737,EG667723,,1.0,,,,expo
3738,EG667728,,1.0,,,,expo
3739,EG667977,,,1.0,,,gamma
3740,EG668850,,,1.0,,,gamma
3741,ENSMUSG00000053178,1.0,1.0,,2.0,,longtail
3742,ENSMUSG00000054212,1.0,,,,,bimodal
3743,ENSMUSG00000068790,,,2.0,,3.0,other
3744,Eaf1,,2.0,,,1.0,expo
3745,Eaf2,,3.0,1.0,,1.0,expo
3746,Ear1,1.0,,3.0,,,gamma
3747,Ear2,,,,,1.0,other
3748,Ears2,1.0,3.0,,1.0,,expo
3749,Ebag9,,,,,2.0,other
3750,Ebf3,,1.0,,,,expo
3751,Ebi3,,4.0,6.0,,,gamma
3752,Ebna1bp2,1.0,,1.0,,4.0,other
3753,Ebp,,1.0,1.0,,5.0,other
3754,Ecd,,1.0,3.0,,,gamma
3755,Ece2,,,1.0,,,gamma
3756,Ecel1,,1.0,,,,expo
3757,Ech1,,,3.0,,,gamma
3758,Echdc3,1.0,2.0,1.0,1.0,,expo
3759,Echs1,,,2.0,,,gamma
3760,Eci2,,,2.0,,,gamma
3761,Ecm1,,2.0,5.0,,3.0,gamma
3762,Ecm2,,1.0,,,,expo
3763,Ecpas,,,,,1.0,other
3764,Ecsit,,,1.0,,4.0,other
3765,Ect2,,,2.0,,,gamma
3766,Eda2r,,,1.0,,,gamma
3767,Edc4,,1.0,2.0,,3.0,other
3768,Edem1,,3.0,2.0,,2.0,expo
3769,Edem2,,3.0,5.0,1.0,7.0,other
3770,Edem3,,3.0,1.0,,1.0,expo
3771,Edf1,,1.0,,,,expo
3772,Edf1 ,,,2.0,,,gamma
3773,Edg2,,,1.0,,,gamma
3774,Edn1,1.0,3.0,2.0,,,expo
3775,Edn2,,1.0,1.0,,2.0,other
3776,Ednra,,,,,1.0,other
3777,Eea1,,3.0,2.0,,,expo
3778,Eef1a1,,,,,2.0,other
3779,Eef1akmt1,,,1.0,,,gamma
3780,Eef1akmt3,1.0,,,,,bimodal
3781,Eef1b2,,,1.0,,,gamma
3782,Eef1g,,,3.0,,,gamma
3783,Eef2,,,5.0,,,gamma
3784,Eefsec,,,3.0,,4.0,other
3785,Efcab12,,1.0,,,,expo
3786,Efcab14,,1.0,,,5.0,other
3787,Efcab2,,,4.0,,2.0,gamma
3788,Efcab3,,,1.0,,,gamma
3789,Efcab5,,,,,1.0,other
3790,Efcab7,1.0,,,,,bimodal
3791,Efcab9,,,,1.0,,longtail
3792,Efemp2,2.0,,3.0,,4.0,other
3793,Efha1,,,,,3.0,other
3794,Efhd2,,3.0,1.0,,,expo
3795,Efl1,,1.0,,,,expo
3796,Efna1,1.0,1.0,1.0,,2.0,other
3797,Efna2,,1.0,,,,expo
3798,Efna4,1.0,2.0,2.0,,3.0,other
3799,Efnb1,,,3.0,,7.0,other
3800,Efr3a,,3.0,2.0,1.0,,expo
3801,Eftud1,,2.0,3.0,,2.0,gamma
3802,Eftud2,1.0,,6.0,,,gamma
3803,Egf,,1.0,,,,expo
3804,Egfbp2,,,,,1.0,other
3805,Egln1,,1.0,2.0,,6.0,other
3806,Egln3,,3.0,5.0,1.0,1.0,gamma
3807,Egr1,1.0,1.0,5.0,,2.0,gamma
3808,Ehd1,,,1.0,,,gamma
3809,Ehd2,,,1.0,,,gamma
3810,Ehd3,,2.0,4.0,2.0,,gamma
3811,Ehd4,1.0,6.0,,1.0,1.0,expo
3812,Ehhadh,,,2.0,1.0,,gamma
3813,Ehmt1,,1.0,2.0,,1.0,gamma
3814,Ehmt2,1.0,,3.0,,,gamma
3815,Ei24,2.0,1.0,3.0,,2.0,gamma
3816,Eid1,1.0,2.0,2.0,,6.0,other
3817,Eid2,,,1.0,,,gamma
3818,Eif1,1.0,,3.0,,1.0,gamma
3819,Eif1 ,,,2.0,,,gamma
3820,Eif1a,,1.0,2.0,,,gamma
3821,Eif1ad,,,1.0,,,gamma
3822,Eif1ax,,,2.0,,1.0,gamma
3823,Eif1b,,1.0,2.0,,,gamma
3824,Eif2a,,1.0,,,,expo
3825,Eif2ak2,,1.0,6.0,,1.0,gamma
3826,Eif2ak4,,2.0,,,3.0,other
3827,Eif2b1,,2.0,1.0,,,expo
3828,Eif2b2,,2.0,,,1.0,expo
3829,Eif2b3,,,2.0,,1.0,gamma
3830,Eif2b4,,,3.0,,,gamma
3831,Eif2b5,,2.0,5.0,,2.0,gamma
3832,Eif2d,2.0,1.0,3.0,,,gamma
3833,Eif2s1,,1.0,3.0,,,gamma
3834,Eif2s3y,,,1.0,,,gamma
3835,Eif3a,,1.0,2.0,,1.0,gamma
3836,Eif3b,,,2.0,,1.0,gamma
3837,Eif3c,,,2.0,,,gamma
3838,Eif3e,,1.0,,,4.0,other
3839,Eif3eip,,1.0,,,,expo
3840,Eif3g,,,,,4.0,other
3841,Eif3h,,1.0,3.0,,1.0,gamma
3842,Eif3i,,1.0,4.0,,1.0,gamma
3843,Eif3j1,,2.0,,,,expo
3844,Eif3j1 ,,1.0,2.0,,,gamma
3845,Eif3k,,1.0,2.0,,1.0,gamma
3846,Eif3l,,,2.0,,1.0,gamma
3847,Eif3m,,,3.0,,1.0,gamma
3848,Eif4a3,,,1.0,,,gamma
3849,Eif4a3l1,,,,,1.0,other
3850,Eif4b,,2.0,1.0,,1.0,expo
3851,Eif4e2,1.0,4.0,3.0,1.0,1.0,expo
3852,Eif4ebp1,,6.0,1.0,1.0,,expo
3853,Eif4g2,,4.0,5.0,1.0,3.0,gamma
3854,Eif4g3,,,,,1.0,other
3855,Eif4h,1.0,2.0,,,,expo
3856,Eif5,,3.0,5.0,,6.0,other
3857,Eif5a,,1.0,3.0,,1.0,gamma
3858,Eif5b,,,5.0,,1.0,gamma
3859,Eif6,,,3.0,,,gamma
3860,Eipr1,,1.0,,,,expo
3861,Ela1,,1.0,,2.0,1.0,longtail
3862,Elac2,,,4.0,,3.0,gamma
3863,Elane,,,1.0,,,gamma
3864,Elapor2,,1.0,,,,expo
3865,Elavl1,,3.0,1.0,,,expo
3866,Elavl3,3.0,,,1.0,,bimodal
3867,Elavl4,,,1.0,,,gamma
3868,Elf2,,3.0,1.0,,5.0,other
3869,Elf3,,,1.0,,,gamma
3870,Elfn1,,,,,1.0,other
3871,Elk3,1.0,2.0,3.0,1.0,2.0,gamma
3872,Elk4,,3.0,2.0,,,expo
3873,Ell2,,3.0,2.0,1.0,,expo
3874,Ell3,,3.0,,,,expo
3875,Elmo1,,5.0,4.0,,2.0,expo
3876,Elmo3,1.0,1.0,2.0,,5.0,other
3877,Elmod1,,,1.0,,,gamma
3878,Eln,,1.0,,,,expo
3879,Eloa,,1.0,1.0,,2.0,other
3880,Elob,,1.0,,,,expo
3881,Eloc,,1.0,,,,expo
3882,Elof1,,,6.0,,,gamma
3883,Elovl1,,2.0,1.0,,1.0,expo
3884,Elovl4,,4.0,,1.0,1.0,expo
3885,Elovl5,,3.0,4.0,,,gamma
3886,Elovl6,,7.0,3.0,,1.0,expo
3887,Elp2,,1.0,,,3.0,other
3888,Elp3,,1.0,2.0,1.0,1.0,gamma
3889,Elp4,,,2.0,,,gamma
3890,Elp5,,,1.0,,,gamma
3891,Elp6,,,1.0,,,gamma
3892,Emb,,,3.0,,,gamma
3893,Emc10,,,2.0,,3.0,other
3894,Emc2,,,1.0,,2.0,other
3895,Emc3,1.0,,,,,bimodal
3896,Emc4,,,2.0,,,gamma
3897,Emc6,,,2.0,,,gamma
3898,Emc8,,2.0,,,,expo
3899,Emc9,,4.0,,,,expo
3900,Emcn,,1.0,,,,expo
3901,Eme1,,,2.0,,1.0,gamma
3902,Emg1,,1.0,4.0,,1.0,gamma
3903,Emilin1,,1.0,,,,expo
3904,Emilin2,,1.0,6.0,,,gamma
3905,Emilin3,,,1.0,,,gamma
3906,Eml1,,,1.0,,,gamma
3907,Eml3,,,1.0,,2.0,other
3908,Eml5,,1.0,4.0,,3.0,gamma
3909,Eml6,,1.0,,,,expo
3910,Emp1,1.0,2.0,1.0,,4.0,other
3911,Emp3,,,1.0,,3.0,other
3912,Emr1,,3.0,2.0,2.0,4.0,other
3913,Emx1,,,,,1.0,other
3914,En2,,,2.0,,1.0,gamma
3915,Enam,,1.0,,,,expo
3916,Enc1,,1.0,,,,expo
3917,Endogl1,,1.0,,,,expo
3918,Eng,1.0,2.0,,,1.0,expo
3919,Enkd1,,,2.0,,,gamma
3920,Enkur,,3.0,2.0,,,expo
3921,Eno1b,,1.0,,,,expo
3922,Eno3,,1.0,2.0,,6.0,other
3923,Eno4,,1.0,,,,expo
3924,Enox2,,4.0,2.0,,,expo
3925,Enpep,,,1.0,,,gamma
3926,Enpp1,,1.0,8.0,,,gamma
3927,Enpp2,,1.0,4.0,,1.0,gamma
3928,Enpp4,1.0,4.0,1.0,2.0,,expo
3929,Enpp5,,,4.0,,3.0,gamma
3930,Enpp6,,4.0,,1.0,,expo
3931,Ensa,,1.0,2.0,,6.0,other
3932,Enthd1,,,2.0,,1.0,gamma
3933,Entpd2,,1.0,1.0,,4.0,other
3934,Entpd4 ,1.0,,,,2.0,other
3935,Entpd5,,1.0,4.0,1.0,,gamma
3936,Entpd7,,1.0,,,2.0,other
3937,Entr1,,2.0,,,1.0,expo
3938,Env,,,,,2.0,other
3939,Eny2,,2.0,1.0,1.0,3.0,other
3940,Eola1,,1.0,,,,expo
3941,Eomes,1.0,1.0,7.0,1.0,,gamma
3942,Ep300,1.0,,1.0,,2.0,other
3943,Ep400,,2.0,6.0,,1.0,gamma
3944,Epas1,,2.0,3.0,,1.0,gamma
3945,Epb41l1,1.0,,,,,bimodal
3946,Epb41l2,,4.0,1.0,,,expo
3947,Epb41l4a,,1.0,,,,expo
3948,Epb41l4aos,,,1.0,,,gamma
3949,Epb42,,,1.0,,,gamma
3950,Epc1,,6.0,1.0,4.0,,expo
3951,Epcam,,1.0,4.0,,,gamma
3952,Epdr1,,1.0,2.0,,1.0,gamma
3953,Epgn,,3.0,2.0,,,expo
3954,Epha2,1.0,,2.0,,,gamma
3955,Epha3,,1.0,,,,expo
3956,Epha4,,1.0,,,,expo
3957,Ephb2,,,1.0,,,gamma
3958,Ephb6,1.0,,,,,bimodal
3959,Ephx1,,4.0,5.0,,,gamma
3960,Ephx2,,,1.0,,,gamma
3961,Epm2a,,,1.0,,,gamma
3962,Epm2aip1,,1.0,4.0,,1.0,gamma
3963,Epn1,,3.0,1.0,,,expo
3964,Epn2,,3.0,5.0,,3.0,gamma
3965,Epor,,,4.0,,1.0,gamma
3966,Eprs,,4.0,3.0,,1.0,expo
3967,Eps15,,,,2.0,1.0,longtail
3968,Eps15l1,,2.0,1.0,,1.0,expo
3969,Eps8,,1.0,3.0,,2.0,gamma
3970,Eps8l1,,2.0,1.0,,,expo
3971,Epsti1,,4.0,5.0,1.0,4.0,gamma
3972,Epx,,1.0,,,,expo
3973,Eraf,,,,,1.0,other
3974,Eral1,2.0,1.0,2.0,,3.0,other
3975,Erap1,,4.0,3.0,,,expo
3976,Erbb2ip,,1.0,3.0,,1.0,gamma
3977,Erbb3,,,2.0,,,gamma
3978,Erbin,,,1.0,,,gamma
3979,Erc1,,1.0,2.0,1.0,4.0,other
3980,Ercc1,,,2.0,1.0,,gamma
3981,Ercc2,,,3.0,,4.0,other
3982,Ercc4,,,,4.0,3.0,longtail
3983,Ercc5,,1.0,3.0,,,gamma
3984,Ercc6,,,1.0,,,gamma
3985,Ercc6l,,,2.0,,,gamma
3986,Ercc6l2,,3.0,,,1.0,expo
3987,Ercc8,1.0,,4.0,,,gamma
3988,Erdr1,,1.0,4.0,,1.0,gamma
3989,Erg,,,1.0,,,gamma
3990,Erg28,,,1.0,,,gamma
3991,Ergic2,,,2.0,,1.0,gamma
3992,Erh,,2.0,1.0,,,expo
3993,Eri1,,1.0,,2.0,,longtail
3994,Eri2,,,2.0,,1.0,gamma
3995,Eri3,,,,,1.0,other
3996,Erich2,,,1.0,,,gamma
3997,Erich3,,,1.0,,3.0,other
3998,Erlec1,,4.0,1.0,,,expo
3999,Erlin1,,2.0,,,1.0,expo
4000,Ermap,,1.0,,,,expo
4001,Ermn,,,1.0,,,gamma
4002,Ermp1,,,2.0,,,gamma
4003,Ern1,,,,,1.0,other
4004,Ero1a,,1.0,,,,expo
4005,Erp29,,5.0,2.0,,1.0,expo
4006,Errfi1,,6.0,1.0,1.0,,expo
4007,Erv3,,,1.0,,,gamma
4008,Es22,,,1.0,,,gamma
4009,Esam,,,1.0,,,gamma
4010,Esam1,1.0,,1.0,,2.0,other
4011,Esco2,,,4.0,,,gamma
4012,Esd,,,4.0,,1.0,gamma
4013,Esf1,,1.0,2.0,,,gamma
4014,Espl1,,,5.0,,,gamma
4015,Espn,,1.0,5.0,,,gamma
4016,Esr1,,1.0,2.0,,3.0,other
4017,Esr2,,,1.0,,,gamma
4018,Esrp2,,2.0,,,,expo
4019,Esrra,1.0,3.0,,,1.0,expo
4020,Esrrb,,,3.0,,1.0,gamma
4021,Esrrg,,,1.0,,,gamma
4022,Etaa1,,2.0,2.0,,5.0,other
4023,Etf1,,2.0,,,,expo
4024,Etfa,,,4.0,,1.0,gamma
4025,Etfb,1.0,,,,5.0,other
4026,Etfbkmt,,2.0,,,,expo
4027,Etfdh,1.0,,2.0,,4.0,other
4028,Etfrf1,,,,,1.0,other
4029,Ethe1,,1.0,3.0,,1.0,gamma
4030,Etl4,,,1.0,,,gamma
4031,Etnk2,,1.0,,,,expo
4032,Etohd2,,1.0,,,,expo
4033,Ets2,,4.0,1.0,,3.0,expo
4034,Etv1,,,1.0,,4.0,other
4035,Etv3,,1.0,4.0,,1.0,gamma
4036,Etv4,1.0,4.0,2.0,1.0,,expo
4037,Etv5,1.0,1.0,3.0,,1.0,gamma
4038,Etv6,1.0,5.0,1.0,1.0,,expo
4039,Evi1,,,1.0,,,gamma
4040,Evi2,,3.0,1.0,,,expo
4041,Evi2a,,1.0,6.0,,2.0,gamma
4042,Evi5,,2.0,3.0,,1.0,gamma
4043,Evi5l,,,,,6.0,other
4044,Evl,,,1.0,,,gamma
4045,Evpl,,,,,1.0,other
4046,Evx1,,,1.0,,,gamma
4047,Ewsr1,,1.0,,,,expo
4048,Exd2,,3.0,,,2.0,expo
4049,Exo1,,,2.0,,,gamma
4050,Exoc1,,2.0,,,,expo
4051,Exoc2,,1.0,2.0,,4.0,other
4052,Exoc3,,2.0,4.0,1.0,2.0,gamma
4053,Exoc3l2,,,,,2.0,other
4054,Exoc3l4,,1.0,,,,expo
4055,Exoc4,,1.0,4.0,,5.0,other
4056,Exoc5,,,1.0,,2.0,other
4057,Exoc6b,,,2.0,,,gamma
4058,Exoc7,,2.0,1.0,,1.0,expo
4059,Exoc8,2.0,2.0,1.0,,3.0,other
4060,Exod1,,,,,2.0,other
4061,Exosc10,,1.0,2.0,,6.0,other
4062,Exosc2,1.0,4.0,2.0,3.0,,expo
4063,Exosc4,,3.0,4.0,,2.0,gamma
4064,Exosc5,,,2.0,,,gamma
4065,Exosc6,,1.0,,,,expo
4066,Exosc7,,2.0,4.0,,2.0,gamma
4067,Exosc8,,3.0,1.0,,1.0,expo
4068,Exosc9,,,2.0,,,gamma
4069,Exph5,,,,1.0,,longtail
4070,Expi,,,1.0,,,gamma
4071,Ext1,2.0,2.0,3.0,,2.0,gamma
4072,Ext2,,,2.0,,1.0,gamma
4073,Extl1,,4.0,,,,expo
4074,Extl3,,,5.0,,6.0,other
4075,Eya1,,,1.0,,,gamma
4076,Eya2,1.0,4.0,2.0,1.0,1.0,expo
4077,Eya3,1.0,2.0,,2.0,4.0,other
4078,Ezh2,,3.0,4.0,,1.0,gamma
4079,Ezr,,,5.0,,3.0,gamma
4080,F10,,1.0,,,,expo
4081,F11r,,1.0,,,,expo
4082,F13b,,,1.0,,,gamma
4083,F2,,,1.0,,,gamma
4084,F2r,,1.0,3.0,,,gamma
4085,F2rl1,,5.0,4.0,,1.0,expo
4086,F2rl2,,3.0,5.0,,,gamma
4087,F2rl3,,1.0,,,2.0,other
4088,F420014N23Rik,,1.0,,,,expo
4089,F5,,,,,1.0,other
4090,F630043A04Rik,,,5.0,,,gamma
4091,F7,,,1.0,,,gamma
4092,F730043M19Rik,,1.0,,,,expo
4093,F830016B08Rik,,1.0,,,,expo
4094,F830208F22Rik,,,1.0,,,gamma
4095,F8a,,4.0,1.0,,,expo
4096,F930017D23Rik,,,1.0,,,gamma
4097,Faah,,,1.0,,2.0,other
4098,Faap20,,2.0,1.0,,,expo
4099,Faap24,,,,,1.0,other
4100,Fabp3,,,,,1.0,other
4101,Fabp4,,1.0,3.0,,1.0,gamma
4102,Fabp5,,2.0,1.0,1.0,,expo
4103,Fabp7,,1.0,2.0,,1.0,gamma
4104,Fadd,,,2.0,,1.0,gamma
4105,Fads1,1.0,,2.0,,4.0,other
4106,Fads2,,,2.0,,,gamma
4107,Faf1,,1.0,3.0,,5.0,other
4108,Faf2,,1.0,,,,expo
4109,Fah,,1.0,3.0,,2.0,gamma
4110,Fahd2a,,1.0,1.0,,4.0,other
4111,Faim,,3.0,1.0,,,expo
4112,Faim3,,,1.0,,,gamma
4113,Fam101b,,2.0,,,,expo
4114,Fam102b,,3.0,,,,expo
4115,Fam104a,,,1.0,,3.0,other
4116,Fam105a,,,,,1.0,other
4117,Fam107b,,3.0,2.0,,,expo
4118,Fam109a,,,1.0,,,gamma
4119,Fam110a,,,2.0,,,gamma
4120,Fam110b,,1.0,,,,expo
4121,Fam110c,,,1.0,,,gamma
4122,Fam114a2,,2.0,,1.0,,expo
4123,Fam115c,,1.0,,,,expo
4124,Fam116b,,,1.0,,,gamma
4125,Fam117a,,,1.0,,,gamma
4126,Fam118a,,3.0,,,,expo
4127,Fam118b,,,2.0,,,gamma
4128,Fam119a,,,,1.0,,longtail
4129,Fam120b,,2.0,,1.0,,expo
4130,Fam124a,,,1.0,,,gamma
4131,Fam125a,,,1.0,,,gamma
4132,Fam129a,,5.0,,,,expo
4133,Fam131b,,1.0,,,,expo
4134,Fam132a,,2.0,,1.0,,expo
4135,Fam133b,,,2.0,,,gamma
4136,Fam134a,,,3.0,,,gamma
4137,Fam134b,,,3.0,,1.0,gamma
4138,Fam136a,,,2.0,,,gamma
4139,Fam13b,,3.0,,,1.0,expo
4140,Fam13c,,,1.0,,,gamma
4141,Fam148c,,,1.0,,,gamma
4142,Fam149a,,,1.0,,,gamma
4143,Fam151b,,,1.0,,,gamma
4144,Fam152a,,1.0,,,,expo
4145,Fam152b,,,1.0,,,gamma
4146,Fam155a,,,1.0,,,gamma
4147,Fam158a,,,1.0,,,gamma
4148,Fam160a2,,2.0,3.0,,1.0,gamma
4149,Fam160b2,,,1.0,,,gamma
4150,Fam162a,,2.0,1.0,,1.0,expo
4151,Fam164a,,1.0,,,,expo
4152,Fam166a,,1.0,,,,expo
4153,Fam167a,,1.0,,,,expo
4154,Fam168a,,3.0,,,1.0,expo
4155,Fam171a2,,1.0,,,,expo
4156,Fam172a,,,1.0,,,gamma
4157,Fam174a,,1.0,2.0,,,gamma
4158,Fam174b,,,1.0,,,gamma
4159,Fam183b,,1.0,,,,expo
4160,Fam184a,,,,,1.0,other
4161,Fam195a,,,2.0,,,gamma
4162,Fam195b,,,,,2.0,other
4163,Fam199x,,1.0,,,,expo
4164,Fam204a,,,2.0,,,gamma
4165,Fam207a,,1.0,,,2.0,other
4166,Fam20a,,,,,1.0,other
4167,Fam20b,,,,,2.0,other
4168,Fam20c,,1.0,,,,expo
4169,Fam21,,1.0,1.0,2.0,,longtail
4170,Fam213a,,,,,2.0,other
4171,Fam216a,,1.0,3.0,,,gamma
4172,Fam217b,,1.0,,,,expo
4173,Fam222b,,2.0,,,1.0,expo
4174,Fam234b,,1.0,,,,expo
4175,Fam241a,,,2.0,,1.0,gamma
4176,Fam241b,,,2.0,,,gamma
4177,Fam25c,,1.0,,,2.0,other
4178,Fam32a,,1.0,,2.0,3.0,other
4179,Fam3b,,3.0,2.0,,,expo
4180,Fam45a,,3.0,,,2.0,expo
4181,Fam46c,,2.0,,,,expo
4182,Fam49a,,2.0,,,,expo
4183,Fam53a,,1.0,2.0,,,gamma
4184,Fam53c,,,,,3.0,other
4185,Fam64a,,,2.0,,,gamma
4186,Fam65b,,2.0,,,,expo
4187,Fam69b,,,,,2.0,other
4188,Fam72a,1.0,,,,,bimodal
4189,Fam76a,,,2.0,,,gamma
4190,Fam76b,,2.0,,,,expo
4191,Fam81a,2.0,1.0,,,,bimodal
4192,Fam83c,,,,,1.0,other
4193,Fam83g,,,2.0,,,gamma
4194,Fam83h,,1.0,,,,expo
4195,Fam84a,,,2.0,,1.0,gamma
4196,Fam89a,,2.0,,,1.0,expo
4197,Fam89b,,2.0,,,,expo
4198,Fam98a,,,,,1.0,other
4199,Fam98b,,,1.0,,,gamma
4200,Fanca,,,2.0,,1.0,gamma
4201,Fancb,,,,,1.0,other
4202,Fancd2,,,5.0,,,gamma
4203,Fance,,,1.0,,2.0,other
4204,Fancf,,4.0,,,,expo
4205,Fanci,,,2.0,,4.0,other
4206,Fancm,,,2.0,,1.0,gamma
4207,Fap,1.0,1.0,2.0,,3.0,other
4208,Far1,,3.0,2.0,2.0,,expo
4209,Far2,,,,1.0,,longtail
4210,Farp1,,2.0,1.0,1.0,,expo
4211,Farp2,,1.0,4.0,,,gamma
4212,Fars2,,1.0,,,4.0,other
4213,Farsa,,2.0,3.0,,5.0,other
4214,Fasl,,2.0,3.0,,1.0,gamma
4215,Fasn,,1.0,3.0,,1.0,gamma
4216,Fastkd1,,2.0,1.0,,4.0,other
4217,Fastkd2,,,2.0,,,gamma
4218,Fastkd3,,2.0,1.0,,1.0,expo
4219,Fat1,,1.0,,,,expo
4220,Fat2,,,1.0,,,gamma
4221,Fat4,,1.0,,,,expo
4222,Fau,,,2.0,1.0,1.0,gamma
4223,Fau-ps2,,,1.0,,,gamma
4224,Faxc,,,,,1.0,other
4225,Fbh1,,1.0,,,,expo
4226,Fbl,,1.0,3.0,,,gamma
4227,Fbln1,,1.0,2.0,2.0,4.0,other
4228,Fbln2,,1.0,4.0,,,gamma
4229,Fbn1,,1.0,,,,expo
4230,Fbrsl1,,1.0,,,,expo
4231,Fbxl11,,1.0,3.0,,1.0,gamma
4232,Fbxl12,,5.0,3.0,,1.0,expo
4233,Fbxl16,,,1.0,,,gamma
4234,Fbxl17,,,1.0,,,gamma
4235,Fbxl19,,1.0,,,,expo
4236,Fbxl20,,2.0,,,,expo
4237,Fbxl22,1.0,4.0,,,1.0,expo
4238,Fbxl4,,,1.0,,,gamma
4239,Fbxl5,1.0,,,,3.0,other
4240,Fbxl6,,,,,4.0,other
4241,Fbxl8,,,,,4.0,other
4242,Fbxo15,,,1.0,,,gamma
4243,Fbxo2,,1.0,4.0,,1.0,gamma
4244,Fbxo21,1.0,2.0,1.0,1.0,3.0,other
4245,Fbxo22,,,1.0,,,gamma
4246,Fbxo3,,4.0,5.0,,4.0,gamma
4247,Fbxo30,,4.0,2.0,1.0,1.0,expo
4248,Fbxo31,,,2.0,,1.0,gamma
4249,Fbxo32,,1.0,2.0,,1.0,gamma
4250,Fbxo33,,2.0,1.0,,,expo
4251,Fbxo36,,2.0,3.0,,,gamma
4252,Fbxo4,,4.0,2.0,,3.0,expo
4253,Fbxo44,,,5.0,,,gamma
4254,Fbxo45,,1.0,2.0,1.0,1.0,gamma
4255,Fbxo46,,4.0,1.0,,2.0,expo
4256,Fbxo5,,,,,1.0,other
