,gene,best_fit
2,0610009O20Rik,other
3,0610010B08Rik,other
4,0610010B08Rik _2,other
5,0610012G03Rik,other
11,1110004E09Rik_1,other
13,1110004E09Rik_3,other
19,1190002N15Rik,other
20,1190002N15Rik_1,other
28,1700020I14Rik,other
29,1700021F05Rik,other
30,1700052N19Rik,other
38,1810009N02Rik,other
40,1810030O07Rik_1,other
45,2010107E04Rik,other
46,2010111I01Rik_1,other
50,2310022A10Rik,other
52,2310039H08Rik,other
57,2510039O18Rik_1,other
58,2600001M11Rik,other
59,2610001J05Rik,other
68,2610301B20Rik,other
72,2700060E02Rik,other
79,2810025M15Rik,other
81,2810403A07Rik,other
90,3010026O09Rik,other
96,4632428N05Rik,other
97,4632428N05Rik_1,other
101,4833439L19Rik,other
104,4930432F04Rik,other
106,4932431P20Rik,other
111,5430417L22Rik,other
112,5430421N21Rik,other
114,5730493B19Rik,other
123,6820431F20Rik,other
124,8430419L09Rik_2,other
129,9530068E07Rik_1,other
130,A030005L19Rik,other
131,A230046K03Rik,other
132,A230046K03Rik_1,other
133,A230046K03Rik_2,other
134,A230050P20Rik,other
136,A430104N18Rik,other
142,A730098P11Rik _2,other
147,AI503316,other
153,AK030979,other
162,Aaas,other
170,Aamp,other
180,Abcb10_1,other
189,Abcc5_6,other
205,Abcg4_1,other
216,Abhd5_1,other
220,Abl1,other
222,Abracl,other
224,Abtb1,other
237,Acat2,other
238,Acat2.1,other
244,Acly_3,other
245,Acly_4,other
249,Aco2_1,other
250,Acot10,other
254,Acp1_1,other
255,Acp1_2,other
258,Acp2,other
259,Acp2_1,other
265,Acsl1,other
266,Acsl1_1,other
267,Acsl1_3,other
270,Acsl5,other
274,Actb,other
275,Actb_1,other
276,Actb_2,other
278,Actb_4,other
279,Actg1,other
285,Actn4,other
288,Actr1b,other
289,Actr1b_1,other
295,Acvr1,other
298,Acvr2a,other
301,Acyp2,other
307,Adam19_1,other
317,Adck1,other
326,Adh5,other
327,Adipor1,other
328,Adipor2,other
331,Adnp2_1,other
333,Adpgk,other
335,Adprhl2,other
336,Adprm,other
344,Aff1,other
345,Aff4,other
346,Aff4_1,other
348,Afm_1,other
349,Aftph_1,other
351,Agfg1_2,other
356,Agk,other
357,Agk_1,other
364,Agpat6_1,other
367,Agtpbp1,other
374,Ahcyl2,other
378,Ahnak,other
381,Ahrr,other
385,Aif1l,other
388,Aim1,other
392,Aip,other
393,Airn,other
409,Akap8_1,other
414,Akirin1,other
415,Akirin1_1,other
419,Akr1a1_1,other
420,Akr1a1_2,other
421,Akr1a1_3,other
423,Akr1b10_1,other
424,Akr1b3 _2,other
428,Akr1e1,other
432,Akt2_1,other
437,Aldh16a1,other
438,Aldh18a1,other
439,Aldh18a1_1,other
440,Aldh18a1_2,other
441,Aldh18a1_3,other
442,Aldh18a1_4,other
443,Aldh1b1,other
453,Alg1,other
461,Alpk2,other
469,Amfr,other
477,Anapc1,other
483,Anapc4,other
484,Anapc4_1,other
491,Anapc7,other
493,Angel2,other
494,Angel2_2,other
503,Ankib1,other
510,Ankrd17_2,other
524,Anp32e_1,other
527,Anxa2,other
529,Anxa3,other
537,Ap1g1,other
538,Ap1g1_2,other
540,Ap1m1,other
541,Ap1s1,other
546,Ap2a2_3,other
547,Ap2b1_1,other
548,Ap2m1,other
554,Ap3m1_2,other
555,Ap3m1_3,other
560,Ap4s1,other
561,Ap5m1,other
570,Apex2_1,other
571,Aph1a_1,other
575,Aplp1_1,other
576,Aplp2,other
577,Aplp2_4,other
579,Apobec3,other
581,Apol9a,other
588,Aqp3,other
589,Aqp3_1,other
590,Aqp3_2,other
591,Aqr,other
592,Aqr_1,other
593,Aqr_3,other
594,Ar,other
596,Arap2,other
600,Arf1,other
603,Arf3_1,other
605,Arf3_3,other
606,Arf4,other
610,Arf6,other
