,gene,best_fit
1,1110032A03Rik,other
3,1110051M20Rik,other
4,1110059E24Rik,other
5,1110059G10Rik,other
8,1700017B05Rik,other
11,1700029H14Rik,other
14,1700071K01Rik,other
17,2310011J03Rik,other
29,4833439L19Rik,other
31,4930453N24Rik,other
35,5330417C22Rik,other
44,AI987944,other
47,Aars2,other
51,Abcb9,other
54,Abcc5,other
55,Abcd1,other
56,Abcd2,other
62,Abhd15,other
63,Abhd2,other
73,Acads,other
74,Acadvl,other
78,Ace,other
81,Acsf2,other
83,Actn2,other
93,Adar,other
100,Adgre5,other
101,Adgrg1,other
111,Aen,other
112,Afmid,other
116,Agap3,other
119,Agpat5,other
121,Agtpbp1,other
122,Agtr1b,other
127,Ahsa2,other
134,Akap5,other
140,Alas1,other
141,Aldh3a2,other
147,Ammecr1l,other
149,Amn1,other
153,Anapc5,other
155,Ang4,other
158,Ankrd10,other
162,Ankrd13b,other
165,Ankrd39,other
169,Ankrd55,other
170,Ano10,other
172,Antxr2,other
184,Aplf,other
195,Arap1,other
202,Arg1,other
204,Arhgap1,other
205,Arhgap10,other
214,Arhgef12,other
216,Arhgef3,other
220,Arid5b,other
221,Arl11,other
223,Arl16,other
227,Arl6ip5,other
229,Armc10,other
231,Armcx2,other
238,Arxes2,other
240,Asap2,other
248,Atf2,other
251,Atg101,other
270,Atp6ap2,other
271,Atp6v1g1,other
273,Atp8b4,other
274,Atraid,other
275,Atrx,other
280,Aven,other
281,Avl9,other
283,Azi2,other
286,B3glct,other
290,B4galnt1,other
293,BC031181,other
297,Bad,other
302,Bbc3,other
305,Bbx,other
308,Bccip,other
309,Bckdk,other
315,Bcr,other
318,Bean1,other
321,Bex2,other
324,Bglap3,other
327,Bicdl1,other
330,Birc3,other
341,Borcs6,other
344,Bri3bp,other
348,Bsdc1,other
352,Btd,other
360,C1galt1,other
362,C2cd4b,other
369,Cacna1g,other
381,Camkk2,other
392,Casp6,other
396,Cbfb,other
399,Cbx1,other
401,Cbx7,other
402,Ccar2,other
415,Ccdc90b,other
416,Ccdc9b,other
424,Ccng1,other
426,Ccnt1,other
428,Ccr3,other
434,Cct2,other
438,Cd164,other
441,Cd2,other
