,gene,p,comp,f-test
0,0610007P08Rik.1,0.5210070369045926,expo_gamma,ns
1,0610007P14Rik,0.23441136470502688,expo_gamma,ns
2,0610007P14Rik.1,0.13448761746860283,expo_gamma,ns
3,0610007P14Rik.2,0.19358352573708193,expo_gamma,ns
4,0610007P22Rik.1,4.3352163251575426e-05,expo_gamma,sig
5,0610009B22Rik,1.3312516958574605e-05,expo_gamma,sig
6,0610010E21Rik.1,0.0007672816242331182,expo_gamma,sig
7,0610010K14Rik,0.014298999154790382,expo_gamma,sig
8,0610011F06Rik,0.22521173918487147,expo_gamma,ns
9,0610025P10Rik,0.32928864950816716,expo_gamma,ns
10,0610037D15Rik,0.05918635217333723,expo_gamma,ns
11,0610037L13Rik,0.001594772091784491,expo_gamma,sig
12,0610037P05Rik,0.036529618030328836,expo_gamma,sig
13,0910001A06Rik.1,0.20068608672482602,expo_gamma,ns
14,1110001A07Rik,0.0819923928159757,expo_gamma,ns
15,1110007A13Rik.1,0.9999737128161132,expo_gamma,ns
16,1110007L15Rik,0.9999563804416497,expo_gamma,ns
17,1110007L15Rik.1,1.0,expo_gamma,ns
18,1110007L15Rik.2,0.021994915346481014,expo_gamma,sig
19,1110007L15Rik.3,1.0,expo_gamma,ns
20,1110007M04Rik,0.9999633747645009,expo_gamma,ns
21,1110008P14Rik,0.10138523166691227,expo_gamma,ns
22,1110012M11Rik,0.16881468904324148,expo_gamma,ns
23,1110014J01Rik,0.012445979224254167,expo_gamma,sig
24,1110018G07Rik,1.1102230246251565e-16,expo_gamma,sig
25,1110032O16Rik,0.09734117790672481,expo_gamma,ns
26,1110037F02Rik,0.06335572163349767,expo_gamma,ns
27,1110037F02Rik.1,1.931167448177007e-10,expo_gamma,sig
28,1110038F14Rik,0.7830864419074595,expo_gamma,ns
29,1110038F14Rik.1,0.9003844984270926,expo_gamma,ns
30,1110039B18Rik,0.9999993152539175,expo_gamma,ns
31,1110049B09Rik,0.9999945992540645,expo_gamma,ns
32,1110059E24Rik,1.0,expo_gamma,ns
33,1110059E24Rik.1,0.20578445455613636,expo_gamma,ns
34,1110059G10Rik,0.5089893460042003,expo_gamma,ns
35,1110067D22Rik,0.999997205467244,expo_gamma,ns
36,1190005I06Rik,0.04010329981985539,expo_gamma,sig
37,1190005P17Rik.1,0.13934382990367244,expo_gamma,ns
38,1190007F08Rik,0.007888411748784407,expo_gamma,sig
39,1200003C05Rik.1,0.047192571862858856,expo_gamma,sig
40,1200003C05Rik.2,0.9999996692071469,expo_gamma,ns
41,1200003I07Rik.1,0.003661792525145424,expo_gamma,sig
42,1200003I07Rik.3,0.9999915483586814,expo_gamma,ns
43,1200003I07Rik.4,0.0015133317574882454,expo_gamma,sig
44,1200009F10Rik,0.42101614636960905,expo_gamma,ns
45,1200011M11Rik.1,0.9999945557507699,expo_gamma,ns
46,1200013P24Rik,0.8577153285693888,expo_gamma,ns
47,1200014J11Rik,0.05780746432949602,expo_gamma,ns
48,1200016B10Rik.1,6.8669579541547066e-06,expo_gamma,sig
49,1300018I05Rik,0.06519307613887693,expo_gamma,ns
50,1500002O20Rik,0.09776157275722586,expo_gamma,ns
51,1500010J02Rik,0.0003501092075680612,expo_gamma,sig
52,1500010J02Rik.1,0.02086637316354245,expo_gamma,sig
53,1500011H22Rik,0.1028845334051185,expo_gamma,ns
54,1500012F01Rik,0.9999995765482876,expo_gamma,ns
55,1500012F01Rik.1,0.9999805216143397,expo_gamma,ns
56,1500032D16Rik,0.05834864823880426,expo_gamma,ns
57,1500032D16Rik.1,0.0965007240758875,expo_gamma,ns
58,1500032D16Rik.2,4.9334969423942e-05,expo_gamma,sig
59,1500032L24Rik,1.0,expo_gamma,ns
60,1600012H06Rik.1,0.0003662089780945843,expo_gamma,sig
61,1600016N20Rik,1.1102230246251565e-16,expo_gamma,sig
62,1600027N09Rik,0.027496274254416475,expo_gamma,sig
63,1700007K13Rik,0.9999998622800257,expo_gamma,ns
64,1700012G19Rik,0.02389980028988925,expo_gamma,sig
65,1700019D03Rik,0.6467976233362878,expo_gamma,ns
66,1700019E19Rik,0.004793907524896501,expo_gamma,sig
67,1700019G17Rik.2,0.9999933240065203,expo_gamma,ns
68,1700019N12Rik,0.03153947024316406,expo_gamma,sig
69,1700023B02Rik,0.10187440678474313,expo_gamma,ns
70,1700023B02Rik.2,0.307857915123832,expo_gamma,ns
71,1700025K23Rik,0.001837970627198926,expo_gamma,sig
72,1700027D21Rik,0.0017100100082231284,expo_gamma,sig
73,1700027J05Rik,0.8802125784315787,expo_gamma,ns
74,1700027N10Rik,4.422678594462326e-07,expo_gamma,sig
75,1700027N10Rik.1,2.1470217270724845e-07,expo_gamma,sig
76,1700029P11Rik,0.3215531366764851,expo_gamma,ns
77,1700030K09Rik,0.6627921450978056,expo_gamma,ns
78,1700037C18Rik,0.022289415502110166,expo_gamma,sig
79,1700047I17Rik1,1.0,expo_gamma,ns
80,1700047I17Rik1.1,0.07958335016651363,expo_gamma,ns
81,1700065O13Rik.1,0.001265335936635914,expo_gamma,sig
