,gene,best_fit
1035,Brat1_1,other
1036,Brat1_2,other
1041,Brcc3_2,other
1043,Brd2,other
1044,Brd2_1,other
1050,Brd4_2,other
1054,Bri3,other
1055,Brip1os,other
1057,Brk1_1,other
1067,Bspry,other
1069,Btbd1,other
1088,Bzw1,other
1092,Bzw2,other
1097,C1d_2,other
1117,C80012,other
1122,Cab39,other
1123,Cables2,other
1124,Cacfd1_2,other
1125,Cacnb3,other
1134,Cadm1,other
1135,Cadm1_2,other
1136,Cadm1_3,other
1137,Calcr,other
1138,Calhm2,other
1149,Camk2d,other
1150,Camkk1,other
1151,Caml,other
1157,Cap1,other
1158,Cap1_1,other
1161,Capn15,other
1162,Capn15_1,other
1163,Capn15_2,other
1164,Capn1_1,other
1171,Caprin1_4,other
1178,Capzb_1,other
1179,Capzb_3,other
1184,Carkd,other
1190,Caskin2,other
1192,Casp2,other
1194,Casp3_1,other
1198,Casp8ap2,other
1201,Cbfa2t2,other
1202,Cbfb,other
1209,Cbx1,other
1210,Cbx1_2,other
1212,Cbx2_1,other
1214,Cbx3 _1,other
1222,Cbx6,other
1223,Cbx7,other
1224,Cby1,other
1227,Ccdc102a,other
1228,Ccdc104,other
1229,Ccdc109b,other
1234,Ccdc130,other
1235,Ccdc134,other
1238,Ccdc166,other
1239,Ccdc166_1,other
1242,Ccdc23,other
1245,Ccdc43,other
1247,Ccdc47,other
1248,Ccdc47_2,other
1259,Ccdc77,other
1260,Ccdc77_1,other
1261,Ccdc84,other
1264,Ccdc9,other
1266,Ccdc93,other
1271,Ccl25,other
1272,Ccl27a,other
1273,Ccl3,other
1275,Ccl5,other
1286,Ccnc,other
1287,Ccnc_1,other
1294,Ccne1,other
1297,Ccng1,other
1303,Ccnh_1,other
1307,Ccnk,other
1313,Ccnt2_1,other
1315,Ccr5_2,other
1338,Cd151_2,other
1340,Cd160,other
1341,Cd160_2,other
1351,Cd24a,other
1352,Cd24a_1,other
1353,Cd24a_2,other
1355,Cd274,other
1356,Cd2ap,other
1358,Cd2ap_2,other
1369,Cd40lg,other
1370,Cd44,other
1381,Cd70,other
1386,Cd80_1,other
1387,Cd80_2,other
1388,Cd81,other
1392,Cd86,other
1393,Cd86_1,other
1407,Cdc25a_1,other
1410,Cdc26,other
1415,Cdc42_2,other
1423,Cdc5l_1,other
1425,Cdc73,other
1426,Cdc73_1,other
1427,Cdc7_1,other
1429,Cdca4,other
1430,Cdca4_1,other
1431,Cdca4_2,other
1438,Cdipt_1,other
1444,Cdk16_3,other
1445,Cdk2,other
1455,Cdk6,other
1461,Cdkn1c,other
1462,Cdkn2aipnl,other
1465,Cds2_1,other
1471,Cdyl_1,other
1473,Ceacam1_7,other
1482,Celf1_2,other
1489,Celsr2_1,other
1511,Cep89_1,other
1517,Ces2c,other
1522,Cfl2_1,other
1532,Chchd10,other
1533,Chchd10_1,other
1536,Chchd3,other
1539,Chchd5,other
1540,Chchd5_1,other
1549,Chd7,other
1554,Cherp,other
1558,Chid1,other
1559,Chid1_1,other
1560,Chka,other
1563,Chm,other
1566,Chmp2a,other
1568,Chmp5,other
1571,Chordc1,other
1573,Chpt1_1,other
1574,Chrac1,other
1575,Chrnd,other
1580,Chst15_1,other
1583,Chtop,other
1585,Chuk,other
1592,Cipc,other
1593,Cipc_1,other
1594,Cipc_2,other
1603,Ckb,other
1608,Clasp1_1,other
1609,Clasrp,other
1610,Clcc1_1,other
1611,Clcc1_2,other
1612,Clcc1_3,other
1613,Clcc1_4,other
1616,Clcf1_2,other
1623,Clec7a,other
1628,Clint1,other
1629,Clip4_5,other
1636,Cln8_1,other
1641,Clock,other
1652,Cmas,other
1653,Cmc2,other
1654,Cmc2_2,other
1655,Cmip,other
1659,Cmtm3,other
1661,Cmtm6_1,other
1664,Cmtr1,other
1665,Cmtr1_1,other
1667,Cnbp_1,other
1674,Cnn3,other
1675,Cnn3_1,other
1676,Cnn3_4,other
1677,Cnnm3,other
1679,Cnnm3_2,other
1681,Cnot1,other
1686,Cnot3,other
1689,Cnot4_3,other
1701,Cnpy2_2,other
1705,Cntrl,other
1708,Coa3,other
1709,Coa3_1,other
1710,Coa5_1,other
1712,Coa6.1,other
1713,Coa7,other
1715,Cog6,other
1716,Cog8,other
1718,Coil,other
1720,Col4a3bp_1,other
1722,Col9a3_2,other
1723,Commd1,other
1727,Commd6,other
1729,Commd9,other
1730,Commd9_1,other
1731,Commd9_2,other
1736,Copb2_1,other
1752,Coq6,other
1757,Coro2a,other
1758,Cox14,other
1759,Cox15,other
1760,Cox15_1,other
1761,Cox15_2,other
1763,Cox16_1,other
1766,Cox4i1,other
1778,Cox6b2,other
1779,Cox6c,other
1788,Cox8a,other
1789,Cox8a_2,other
1790,Cox8c,other
1800,Cpne2,other
1801,Cpne3,other
1806,Cpsf1,other
1808,Cpsf3l,other
1811,Cpt2,other
1812,Cr1l,other
1815,Cramp1l_2,other
1817,Crbn,other
1818,Crbn_1,other
1820,Crcp,other
1824,Crebrf,other
1827,Creg1,other
1830,Crem,other
1831,Crem_2,other
1833,Crip2,other
1834,Cript,other
1836,Crlf2,other
1837,Crmp1,other
1839,Crnkl1_1,other
1840,Crtam,other
1848,Cs_1,other
1855,Csf1_3,other
1856,Csf1r_1,other
1857,Csf2,other
1858,Csf2ra,other
1861,Csnk1a1_1,other
1862,Csnk1d_2,other
1863,Csnk1e,other
1864,Csnk1e_1,other
1865,Csnk1g1,other
1872,Csnk2a2_1,other
1878,Csrp1,other
1881,Cst7,other
1885,Cstf2t,other
1888,Ctbs,other
1889,Ctc1,other
1890,Ctc1_1,other
1903,Ctnnb1,other
1908,Ctrl,other
1910,Ctsb_3,other
1918,Ctsw,other
1925,Cuedc1_1,other
1926,Cuedc2_1,other
1927,Cul1,other
1928,Cul2,other
1930,Cul3_1,other
1931,Cul3_2,other
1936,Cux1,other
1937,Cux1_2,other
1938,Cux1_5,other
1942,Cxcl13_1,other
1943,Cxcl16,other
1950,Cxxc1_1,other
1951,Cxxc5_1,other
1957,Cyb5r1,other
1965,Cyfip1,other
1968,Cyp11a1,other
1979,Cyr61_1,other
1983,Cystm1,other
1984,Cyth1_1,other
1989,D10Wsu102e,other
1991,D15Ertd621e,other
1993,D16Ertd472e_3,other
1997,D17Wsu92e_1,other
2001,D1Ertd622e,other
2002,D1Ertd622e_1,other
2004,D230025D16Rik,other
2008,D4Ertd117e,other
2010,D630032N06Rik,other
2014,D930016D06Rik,other
2015,D930016D06Rik_1,other
2023,Dap3,other
2028,Daxx,other
2032,Dbi,other
2034,Dbi_2,other
2036,Dbndd2,other
2040,Dbt,other
2043,Dcaf15,other
2046,Dck,other
2053,Dclre1a,other
2056,Dctn2,other
2058,Dctn4,other
2061,Dctn5,other
2070,Dcxr,other
2072,Dda1_1,other
2080,Ddit4,other
2081,Ddost,other
2082,Ddr1,other
2083,Ddr1_2,other
2084,Ddr1_6,other
2085,Ddt,other
2093,Ddx19b_2,other
2104,Ddx39b,other
2105,Ddx39b_1,other
2107,Ddx3x,other
2109,Ddx3x_2,other
2110,Ddx42,other
2119,Ddx52,other
2134,Dedd,other
2137,Def8,other
2138,Defa-rs10,other
2140,Dek,other
2143,Dennd5a,other
2147,Derl1,other
2154,Desi1_1,other
2156,Desi2_1,other
2159,Dffb,other
2162,Dgat1,other
2165,Dgcr2_1,other
2173,Dhcr24_1,other
2174,Dhcr24_2,other
2179,Dhodh,other
2180,Dhodh_1,other
2182,Dhrs1,other
2183,Dhrs3,other
2184,Dhrs4,other
2185,Dhrs4_1,other
2190,Dhx16,other
2193,Dhx30_3,other
2194,Dhx32,other
2196,Dhx36,other
2198,Dhx38,other
2202,Dhx8,other
2204,Dhx9_2,other
2206,Diablo_1,other
2207,Diap1,other
2210,Dicer1_1,other
2213,Dip2b,other
2223,Dlgap5,other
2224,Dlst,other
2235,Dnaja2,other
2237,Dnaja4,other
2238,Dnaja4_1,other
2246,Dnajb5,other
2249,Dnajc10,other
2250,Dnajc10_2,other
2252,Dnajc12,other
2254,Dnajc14_1,other
2257,Dnajc1_1,other
2260,Dnajc24,other
2261,Dnajc24_1,other
2271,Dnajc5_3,other
2273,Dnajc8,other
2275,Dnal4,other
2278,Dnm1l_1,other
2280,Dnm1l_3,other
2284,Dnmt1,other
2293,Dnpep,other
2294,Dnpep_1,other
2296,Dnpep_3,other
2310,Dok3,other
2311,Dolpp1,other
2313,Dos,other
2317,Dpf2,other
2318,Dpf3,other
2325,Dpy30,other
2328,Dram2_1,other
2340,Dtd1,other
2343,Dtnbp1,other
2348,Dtymk,other
2350,Dtymk_2,other
2351,Dus1l,other
2353,Dus3l,other
2365,Dusp6,other
2366,Dut,other
2369,Dvl1_1,other
2372,Dync1i2,other
2373,Dynll1,other
2374,Dynll1_1,other
2375,Dynll1_2,other
2382,Dynlt3,other
2384,Dynlt3_2,other
2386,Dyrk1a_2,other
2395,E2f3,other
2397,E330009J07Rik,other
2400,Ears2_1,other
2401,Ebag9,other
2403,Ebp,other
2410,Ecm1,other
2411,Ecsit,other
2415,Edem2,other
2421,Eef1a1,other
2428,Eef2k,other
2429,Efcab14,other
2431,Efcc1,other
2434,Efnb1_1,other
2438,Eftud1,other
2444,Egln1_1,other
2448,Egr1,other
2449,Egr3,other
2450,Ehbp1l1,other
2451,Ehbp1l1_1,other
2456,Ehmt2,other
2458,Eid1_2,other
2473,Eif2d_2,other
2490,Eif3e_1,other
2491,Eif3e_3,other
2506,Eif4e2,other
2510,Eif4e3_1,other
2514,Eif4ebp2_1,other
2520,Eif4g2_3,other
2521,Eif4g3,other
2526,Eif5_1,other
2538,Elk3_2,other
2541,Ell,other
2544,Elmo2,other
2545,Elmo3,other
2551,Elp2_1,other
2553,Emc10,other
2554,Emc2,other
2560,Emd,other
2564,Eml5_1,other
2565,Eml5_2,other
2569,Endod1,other
2573,Eno1,other
2574,Eno1 _1,other
2575,Eno1.1,other
2576,Eno3,other
2577,Enoph1,other
2578,Enoph1_1,other
2584,Ensa,other
2586,Entpd4 _1,other
2587,Entpd4 _2,other
2589,Env_1,other
2593,Eogt,other
2598,Epb4.1,other
2599,Epb4.1l1_1,other
2600,Epb4.1l1_2,other
2614,Eps15l1,other
2618,Epsti1,other
2621,Eral1_2,other
2627,Erc1_2,other
2628,Ercc3,other
2629,Ercc4_1,other
2634,Erdr1,other
2639,Ergic2_1,other
2640,Ergic3,other
2641,Ergic3_1,other
2661,Etfdh,other
2669,Etv4,other
2679,Exoc4_1,other
2682,Exoc6.1,other
2684,Exosc10,other
2692,Exosc7,other
2694,Ext1,other
2696,Extl2_1,other
2700,Eya3_1,other
2705,Ezr_1,other
2709,F2rl3,other
2714,Fadd,other
2719,Faf1_1,other
2723,Fam104a,other
2724,Fam104a_1,other
2732,Fam120a,other
2733,Fam120a_1,other
2738,Fam122a,other
2739,Fam122a_2,other
2749,Fam134b_1,other
2756,Fam162a,other
2757,Fam178a,other
2762,Fam195b,other
2764,Fam20b_1,other
2767,Fam210b_2,other
2768,Fam213a_1,other
2769,Fam213b,other
2775,Fam220a_1,other
2776,Fam222b,other
2777,Fam222b_1,other
2778,Fam32a,other
2780,Fam45a,other
2782,Fam50a,other
2783,Fam53c,other
2784,Fam58b,other
2787,Fam69b,other
2791,Fam81a,other
2796,Fam96a,other
2797,Fam96a_1,other
2798,Fam98c,other
2802,Fance,other
2803,Fancg,other
2804,Fanci_1,other
2805,Fancl,other
2806,Fancm,other
2807,Fap,other
2813,Fars2,other
2826,Fbf1,other
2830,Fbxl15,other
2834,Fbxo11,other
2849,Fbxo6,other
2850,Fbxw11,other
2851,Fbxw2,other
2852,Fbxw2_2,other
2855,Fbxw7,other
2857,Fbxw9,other
2858,Fbxw9_1,other
2859,Fcer2a,other
2860,Fcgbp,other
2861,Fcgr2b,other
2867,Fcna,other
2874,Fdxr,other
2881,Fermt3_1,other
2891,Fhl2,other
2892,Fibp_1,other
2893,Fig4,other
2895,Fip1l1_1,other
2896,Fip1l1_2,other
2897,Fiz1,other
2902,Fkbp1a_1,other
2905,Fkbp2,other
2908,Fkbp5,other
2913,Flad1 _1,other
2916,Flii_2,other
2921,Fmnl1,other
2923,Fmr1_2,other
2924,Fnbp1,other
2925,Fnbp1_1,other
2928,Fndc3a,other
2929,Fnta,other
2936,Foxk2,other
2942,Foxn2,other
2944,Foxo1_1,other
2946,Foxo3,other
2947,Foxo3_1,other
2948,Foxo3_2,other
2952,Foxp1_3,other
2960,Frg1,other
2962,Frrs1,other
2966,Fth1,other
