,gene,p,comp,f-test
0,1110012L19Rik,1.0,expo_gamma,ns
1,1110017D15Rik,0.0028628738619338456,expo_gamma,sig
2,1110051M20Rik,1.0,expo_gamma,ns
3,1110059G10Rik,1.0,expo_gamma,ns
4,1600012H06Rik,0.20255255836202324,expo_gamma,ns
5,1700003F12Rik,0.1242578451661176,expo_gamma,ns
6,1700010B08Rik,1.0,expo_gamma,ns
7,1700016K19Rik,0.9998687088560622,expo_gamma,ns
8,1700019D03Rik,1.0,expo_gamma,ns
9,1700025G04Rik,0.0007758830140763839,expo_gamma,sig
10,1700029H14Rik,0.9993783085723095,expo_gamma,ns
11,1700037H04Rik,0.18962529890573143,expo_gamma,ns
12,1700066M21Rik,0.07098055801807457,expo_gamma,ns
13,1700071K01Rik,0.0003803957626205001,expo_gamma,sig
14,2300009A05Rik,0.03674016397461821,expo_gamma,sig
15,2310033P09Rik,0.5329520017337328,expo_gamma,ns
16,2310039H08Rik,0.07811239848268658,expo_gamma,ns
17,2410004B18Rik,0.15149726348084713,expo_gamma,ns
18,2510002D24Rik,0.5052307351314618,expo_gamma,ns
19,2610001J05Rik,1.0,expo_gamma,ns
20,2610002M06Rik,1.0,expo_gamma,ns
21,2610507B11Rik,0.00018342075361155175,expo_gamma,sig
22,2700049A03Rik,5.981508621744069e-10,expo_gamma,sig
23,2810004N23Rik,0.022141730774904556,expo_gamma,sig
24,3110009E18Rik,1.0,expo_gamma,ns
25,3830406C13Rik,0.9981782807034033,expo_gamma,ns
26,4921524J17Rik,0.01873673104681628,expo_gamma,sig
27,4930503L19Rik,1.0,expo_gamma,ns
28,4930522L14Rik,4.157439642604732e-05,expo_gamma,sig
29,4930563E22Rik,0.14244652250970025,expo_gamma,ns
30,4931406C07Rik,1.0,expo_gamma,ns
31,5330417C22Rik,0.23853207052725656,expo_gamma,ns
32,5430427O19Rik,1.0,expo_gamma,ns
33,5730455P16Rik,0.0559951671213097,expo_gamma,ns
34,6330403K07Rik,0.0,expo_gamma,sig
35,6430571L13Rik,0.9985319478456315,expo_gamma,ns
