,gene,best_fit
1649,Fam184a,other
1653,Fam20a,other
1667,Fam72a,other
1670,Fancb,other
1680,Faxc,other
1687,Fbxl12,other
1701,Fbxo45,other
1707,Fbxw8,other
1710,Fcer1g,other
1712,Fcgr3,other
1724,Fes,other
1729,Ffar4,other
1743,Fgl2,other
1748,Fhl1,other
1752,Fip1l1,other
1753,Firre,other
1761,Flot1,other
1762,Flot2,other
1768,Fn1,other
1776,Focad,other
1780,Fosl2,other
1786,Foxi1,other
1788,Foxk2,other
1797,Frmd7,other
1799,Frs2,other
1807,Furin,other
1808,Fut10,other
1817,Fzd6,other
1818,Fzd8,other
1825,Gabbr1,other
1829,Gabrr1,other
1832,Gad2,other
1846,Gapdh,other
1849,Garnl3,other
1851,Gas7,other
1858,Gatad1,other
1862,Gbx2,other
1873,Gde1,other
1875,Gdf15,other
1879,Gem,other
1896,Gipc1,other
1897,Gipc2,other
1901,Gk,other
1908,Gle1,other
1912,Glp2r,other
1913,Glrx,other
1915,Gls2,other
1916,Glt8d1,other
1919,Gm10069,other
1923,Gm10275,other
1936,Gm10676,other
1937,Gm10804,other
1949,Gm11604,other
1952,Gm11707,other
1956,Gm11953,other
1960,Gm12107,other
1973,Gm12534,other
1981,Gm12902,other
1993,Gm13483,other
2008,Gm14303,other
2017,Gm14846,other
2020,Gm15056,other
2032,Gm15529,other
2037,Gm15708,other
2054,Gm16120,other
2110,Gm2420,other
2111,Gm24608,other
2117,Gm26583,other
2131,Gm2800,other
2132,Gm3222,other
2140,Gm4735,other
2141,Gm4737,other
2152,Gm527,other
2154,Gm5292,other
2161,Gm5898,other
2165,Gm6222,other
2166,Gm6365,other
2172,Gm7879,other
2183,Gm9164,other
2195,Gm9974,other
2199,Gmps,other
2200,Gna13,other
2202,Gnai2,other
2214,Gngt2,other
2223,Got2,other
2263,Gramd1c,other
2269,Grhpr,other
2273,Grik5,other
2275,Grin3a,other
2281,Grn,other
2292,Gstp3,other
2299,Gtf2h5,other
2301,Gtf3a,other
2310,Gyg,other
2313,Gzma,other
2320,Gzmk,other
2333,H2-Ob,other
2335,H2ac10,other
2345,Haao,other
2353,Hapln1,other
2356,Haus6,other
2365,Hcfc1r1,other
2375,Hdlbp,other
2383,Helz,other
2386,Hephl1,other
2391,Hes5,other
2398,Hhex,other
2401,Hic1,other
2406,Hip1r,other
2412,Hk3,other
2432,Hnrnpl,other
2444,Hoxc9,other
2446,Hp,other
2452,Hs3st1,other
2461,Hsd3b7,other
2468,Hspb1,other
2473,Hspg2,other
2477,Hvcn1,other
2486,Icosl,other
2488,Idh1,other
2492,Ido2,other
2495,Ifi204,other
2500,Ifi214,other
2511,Ifngr1,other
2518,Ift46,other
2520,Ift57,other
2523,Ift88,other
2525,Igf2bp1,other
2564,Il33,other
2565,Il34,other
2567,Il4,other
2569,Il6,other
2570,Il7,other
2571,Il7r,other
2585,Inka2,other
2586,Inpp5a,other
2604,Iqcg,other
2610,Irak1bp1,other
2626,Ism2,other
2628,Itfg1,other
2630,Itga2,other
2631,Itga2b,other
2636,Itgax,other
2639,Itgb5,other
2643,Itpa-ps1,other
2652,Jag1,other
2653,Jag2,other
2655,Jak3,other
2664,Kank1,other
2668,Kansl1l,other
2670,Katnal2,other
2671,Katnbl1,other
2685,Kcnj5,other
2686,Kcnj8,other
2690,Kcnk7,other
2701,Kdelr1,other
2705,Kdm4d,other
2711,Kidins220,other
2720,Kif5b,other
2732,Klf12,other
2741,Klhl26,other
2742,Klhl3,other
2753,Kmo,other
2758,Kpna3,other
2765,Ktn1,other
2777,Lamb1,other
2781,Lamp2,other
2783,Lamtor3,other
2795,Lbh,other
2815,Lgals3,other
2818,Lgals8,other
2826,Lilra6,other
2827,Lima1,other
2835,Lipe,other
2841,Lman1,other
2843,Lmbr1l,other
2851,Loxl2,other
2854,Lpcat2,other
2859,Lpl,other
2877,Lrrc39,other
2878,Lrrc40,other
