,gene,best_fit
0,0610007P08Rik.1,other
4,0610007P22Rik.1,other
6,0610010E21Rik.1,other
7,0610010K14Rik,other
8,0610011F06Rik,other
9,0610025P10Rik,other
10,0610037D15Rik,other
12,0610037P05Rik,other
13,0910001A06Rik.1,other
14,1110001A07Rik,other
20,1110007M04Rik,other
21,1110008P14Rik,other
22,1110014J01Rik,other
23,1110018G07Rik,other
33,1190007F08Rik,other
34,1200003C05Rik,other
40,1200009F10Rik,other
41,1200013P24Rik,other
43,1200016B10Rik,other
44,1200016B10Rik.1,other
45,1300010M03Rik.2,other
53,1500032D16Rik,other
54,1500032D16Rik.1,other
57,1600027N09Rik,other
65,1700023B02Rik,other
66,1700023B02Rik.1,other
76,1700037C18Rik,other
79,1700047I17Rik1.1,other
81,1700065O13Rik.1,other
83,1700067P10Rik,other
84,1700088E04Rik,other
85,1700093K21Rik,other
88,1700109H08Rik.1,other
91,1700123O20Rik.1,other
95,1810009O10Rik,other
96,1810014F10Rik,other
98,1810020G14Rik.2,other
99,1810021J13Rik,other
100,1810021J13Rik.1,other
107,1810046J19Rik,other
108,1810048J11Rik.1,other
109,1810049H13Rik,other
111,1810073G14Rik,other
112,2010001J22Rik,other
114,2010001M09Rik,other
115,2010005J08Rik,other
117,2010007H12Rik.1,other
118,2010111I01Rik,other
122,2010316F05Rik,other
123,2010321M09Rik,other
127,2210018M11Rik.1,other
131,2210418O10Rik.1,other
132,2310001A20Rik,other
134,2310003C23Rik.1,other
135,2310003F16Rik,other
136,2310003L22Rik.1,other
137,2310004I24Rik,other
138,2310005E10Rik.1,other
140,2310007H09Rik,other
143,2310008M10Rik,other
144,2310009B15Rik,other
145,2310011J03Rik,other
149,2310016E02Rik.2,other
150,2310022B05Rik,other
151,2310033P09Rik,other
157,2310038H17Rik,other
158,2310039H08Rik,other
160,2310044H10Rik,other
164,2310047M10Rik,other
167,2310061F22Rik,other
168,2310061F22Rik.1,other
171,2410001C21Rik.1,other
172,2410002F23Rik.1,other
173,2410002F23Rik.2,other
175,2410003P15Rik,other
177,2410004L22Rik,other
178,2410008K03Rik,other
183,2410091C18Rik.1,other
185,2410131K14Rik,other
192,2510012J08Rik.1,other
194,2510048L02Rik,other
196,2610020O08Rik,other
199,2610024G14Rik.1,other
200,2610027C15Rik,other
201,2610027C15Rik.1,other
203,2610029G23Rik,other
209,2610524H06Rik,other
211,2700007P21Rik.2,other
212,2700050L05Rik,other
215,2700062C07Rik,other
216,2700062C07Rik.2,other
221,2810046L04Rik,other
223,2810405K02Rik,other
228,2810408A11Rik.1,other
229,2810408M09Rik.1,other
230,2810408M09Rik.2,other
231,2810410C14Rik,other
234,2810439F02Rik,other
236,2810453I06Rik.2,other
243,3010026O09Rik,other
245,3110056O03Rik,other
246,3110057O12Rik,other
247,3110057O12Rik.1,other
251,3300001P08Rik.2,other
253,3830406C13Rik.2,other
254,3930401K13Rik,other
258,4632404H12Rik.2,other
262,4732418C07Rik.2,other
263,4732479N06Rik.1,other
269,4921520G13Rik,other
270,4922501C03Rik.1,other
273,4930427A07Rik,other
277,4930452B06Rik,other
278,4930453N24Rik,other
281,4930503L19Rik,other
282,4930511J11Rik,other
286,4930538K18Rik.2,other
290,4930573I19Rik,other
291,4930573I19Rik.1,other
293,4930589M24Rik.1,other
294,4931406C07Rik,other
295,4931406I20Rik.1,other
298,4932417I16Rik,other
303,4933407H18Rik,other
314,5430432M24Rik.1,other
317,5730403B10Rik,other
320,5730410I19Rik,other
321,5730410I19Rik.1,other
322,5730410I19Rik.2,other
330,5730577I03Rik,other
331,5730590G19Rik,other
332,5730596K20Rik.2,other
335,5830427D03Rik,other
336,5830457O10Rik.3,other
338,5830472M02Rik.1,other
339,5930434B04Rik,other
344,6030429G01Rik,other
347,6330503C03Rik,other
351,6430510M02Rik,other
356,6430706D22Rik,other
357,6530403A03Rik,other
358,6720456H20Rik.1,other
359,6720458F09Rik,other
365,7530404M11Rik.1,other
369,9030617O03Rik,other
371,9130011E15Rik,other
374,9130213B05Rik,other
377,9330176C04Rik,other
381,9630025I21Rik.1,other
382,9630031F12Rik,other
383,9830163H01Rik,other
384,9930021D14Rik,other
385,9930021D14Rik.1,other
388,A030007L17Rik.1,other
391,A230067G21Rik,other
392,A430005L14Rik,other
393,A430005L14Rik.1,other
394,A430005L14Rik.2,other
395,A430005L14Rik.3,other
396,A430107P09Rik,other
397,A530032D15Rik.1,other
398,A530082C11Rik,other
399,A630042L21Rik,other
401,A730008H23Rik,other
403,A930005I04Rik,other
404,A930025D01Rik.1,other
405,A930041I02Rik.1,other
408,AA408296,other
409,AA408296.1,other
410,AA408296.2,other
411,AA409316,other
416,AB112350,other
422,AI451617,other
426,AU019823,other
427,AU021838,other
431,AW125753,other
434,Aaas.1,other
435,Aatf,other
436,Aatf.1,other
439,Abcf3,other
440,Abcf3.1,other
442,Abhd11,other
447,Abi1,other
450,Ablim2,other
452,Acadl,other
454,Acadl.2,other
455,Acads,other
456,Acads.1,other
458,Acadvl.1,other
462,Accn3.2,other
464,Acd.1,other
472,Acot10,other
474,Acot11.1,other
475,Acot11.2,other
476,Acot2,other
478,Acoxl,other
479,Acp6,other
480,Acsf3,other
481,Acsl1,other
486,Acsm3.1,other
489,Actl6b,other
492,Actr10.1,other
493,Actr1b,other
497,Actr5.1,other
500,Acvrl1,other
502,Adam15,other
503,Adam15.1,other
505,Adam17,other
507,Adam4.1,other
515,Adat1,other
518,Adc.1,other
519,Adck1,other
520,Adcy9,other
526,Adora1.1,other
532,Adprhl1.2,other
543,Aggf1.3,other
544,Agl,other
546,Agpat3,other
548,Agps.1,other
549,Agrn,other
557,Aifm2.1,other
564,Akap2.2,other
571,Akt3.1,other
576,Aldh5a1,other
583,Alg5,other
584,Alg6,other
587,Alg8.3,other
599,Amfr.1,other
600,Amhr2.2,other
601,Amica1,other
602,Amigo1,other
605,Ammecr1l,other
606,Amn,other
610,Anapc2,other
611,Anapc5.2,other
613,Ang,other
614,Angel1,other
620,Ankrd13c,other
621,Ankrd17,other
623,Ankrd35,other
629,Ankrd49,other
630,Ankrd54.1,other
631,Ankrd54.2,other
636,Anp32a.1,other
639,Anxa1,other
641,Anxa3,other
644,Aoc2.1,other
645,Aoc2.2,other
646,Aof1.3,other
647,Ap1s1,other
648,Ap1s1.1,other
650,Ap2b1,other
651,Ap2s1,other
653,Ap2s1.2,other
654,Ap3b1.1,other
656,Apaf1,other
657,Apaf1.2,other
658,Apba3,other
667,Apoa1bp,other
668,Apoa1bp.1,other
674,Appl1,other
678,Aqp11.1,other
679,Aqp9,other
685,Arf3,other
686,Arf5,other
687,Arfgap2.2,other
689,Arfrp1,other
691,Arfrp1.2,other
696,Arhgap12.1,other
698,Arhgap18,other
704,Arhgef15,other
706,Arhgef2.1,other
711,Arl3,other
712,Arl3.1,other
715,Arl8a,other
728,Arpc5.1,other
732,Arrb1.2,other
733,Arrb1.3,other
734,Arrb1.4,other
735,Arrdc4,other
736,Ars2,other
737,Art2b,other
740,Asah1,other
748,Asb3,other
751,Asf1a,other
754,Ash1l.1,other
755,Ash1l.3,other
756,Ash1l.4,other
762,Aste1,other
763,Atad2.1,other
765,Ate1,other
768,Atf7.1,other
769,Atf7.2,other
770,Atg16l1,other
772,Atg2a.2,other
773,Atg2b.1,other
775,Atg3.2,other
777,Atg4d.1,other
780,Atn1,other
782,Atp11b.1,other
785,Atp13a1,other
786,Atp13a1.1,other
789,Atp2a1,other
790,Atp2a2,other
791,Atp2a2.1,other
792,Atp2b4,other
793,Atp2b4.1,other
794,Atp2b4.2,other
796,Atp5c1,other
798,Atp5f1,other
805,Atp6v0e2,other
806,Atp6v1g1,other
811,Atp9b.1,other
817,Atxn7l1,other
822,Aven,other
828,Axl,other
829,B230120H23Rik.5,other
831,B230312A22Rik,other
834,B230339M05Rik.2,other
835,B230340J04Rik,other
837,B3galnt2.1,other
843,B4galt3,other
845,B930037P14Rik,other
846,B930041F14Rik,other
849,BC002199,other
850,BC003266,other
853,BC008163.1,other
854,BC011248,other
855,BC011248.1,other
859,BC018242.1,other
862,BC023055,other
866,BC024868,other
868,BC026590.1,other
874,BC031748.1,other
878,BC038286,other
882,BC049806,other
883,BC049806.2,other
890,BC057079,other
895,BC066107,other
900,Bag3,other
902,Bak1,other
913,Bcam,other
915,Bccip,other
916,Bccip.1,other
917,Bccip.3,other
919,Bcdo2,other
920,Bcl11a,other
922,Bcl2,other
923,Bcl2.1,other
926,Bcl2l11.2,other
927,Bcl2l13,other
929,Bcl2l14.1,other
932,Bcl3,other
933,Bcl6,other
938,Bcor,other
941,Bcr.2,other
946,Bhlhb8.1,other
947,Bicc1,other
958,Bmi1,other
960,Bmp2k.2,other
964,Bnip1,other
967,Bpnt1.2,other
968,Bptf.1,other
969,Brap,other
974,Brd2.1,other
977,Brd8.2,other
978,Bre,other
984,Brp16.1,other
985,Brp44,other
987,Brpf1.1,other
994,Btbd11.1,other
1000,Btk,other
1001,Btla,other
1002,Btrc.1,other
