,gene,best_fit
0,0610007P08Rik.1,other
2,0610007P14Rik.1,other
4,0610007P22Rik.1,other
8,0610037D15Rik,other
11,0910001A06Rik.1,other
12,1110001A07Rik,other
18,1110007M04Rik,other
21,1110012M11Rik,other
24,1110032O16Rik,other
25,1110037F02Rik,other
26,1110037F02Rik.1,other
29,1110049B09Rik,other
35,1190005P17Rik.1,other
36,1200003C05Rik,other
38,1200003C05Rik.2,other
42,1200009F10Rik,other
43,1200013P24Rik,other
46,1200016B10Rik.1,other
47,1300018I05Rik,other
54,1500032D16Rik,other
55,1500032D16Rik.1,other
59,1600027N09Rik,other
61,1700012G19Rik,other
65,1700019N12Rik,other
66,1700021C14Rik,other
69,1700023B02Rik.1,other
71,1700025G04Rik,other
77,1700029P11Rik,other
78,1700030K09Rik,other
82,1700047I17Rik1.1,other
89,1700109H08Rik.1,other
92,1700123O20Rik.1,other
97,1810009O10Rik,other
98,1810014F10Rik,other
99,1810020G14Rik,other
100,1810020G14Rik.2,other
101,1810021J13Rik,other
102,1810021J13Rik.1,other
103,1810026J23Rik,other
111,1810048J11Rik.1,other
113,2010001J22Rik,other
118,2010111I01Rik,other
122,2010316F05Rik,other
127,2210018M11Rik.1,other
128,2210021J22Rik,other
131,2210418O10Rik.1,other
134,2310003C23Rik.1,other
135,2310003F16Rik,other
136,2310003L22Rik.1,other
140,2310007F21Rik.1,other
145,2310009B15Rik,other
146,2310011J03Rik,other
153,2310033P09Rik.1,other
156,2310037I24Rik.1,other
158,2310038H17Rik,other
159,2310039H08Rik,other
161,2310044H10Rik,other
162,2310046K01Rik,other
165,2310047M10Rik,other
167,2310061C15Rik,other
168,2310061F22Rik,other
169,2310061F22Rik.1,other
170,2400003C14Rik.1,other
172,2410001C21Rik.1,other
173,2410002F23Rik.1,other
174,2410002F23Rik.2,other
179,2410008K03Rik,other
184,2410091C18Rik.1,other
186,2410131K14Rik,other
189,2500003M10Rik.1,other
194,2510039O18Rik,other
197,2610020O08Rik,other
200,2610027C15Rik,other
203,2610029G23Rik,other
205,2610204K14Rik,other
207,2610207I05Rik.3,other
208,2610208M17Rik,other
211,2610524H06Rik,other
224,2810046L04Rik,other
226,2810405K02Rik,other
231,2810408A11Rik.1,other
232,2810408M09Rik.1,other
233,2810408M09Rik.2,other
234,2810410C14Rik,other
236,2810422O20Rik,other
246,3010026O09Rik,other
248,3110057O12Rik,other
249,3110057O12Rik.1,other
253,3300002I08Rik,other
254,3830406C13Rik.2,other
255,3930401K13Rik,other
257,4631427C17Rik,other
259,4632404H12Rik.2,other
260,4632415K11Rik,other
261,4632417N05Rik,other
263,4732418C07Rik,other
264,4732418C07Rik.2,other
265,4732418C07Rik.4,other
266,4732479N06Rik.1,other
271,4921520G13Rik,other
273,4922502D21Rik,other
276,4930427A07Rik,other
281,4930452B06Rik,other
282,4930455F23Rik,other
284,4930503B20Rik.1,other
285,4930503L19Rik,other
291,4930539E08Rik,other
294,4930570C03Rik,other
295,4930573I19Rik,other
296,4930578N16Rik,other
298,4930589M24Rik.1,other
299,4931406C07Rik,other
300,4931406I20Rik.1,other
303,4932417I16Rik,other
307,4933407H18Rik,other
311,4933428G20Rik,other
318,5430432M24Rik,other
319,5430432M24Rik.1,other
322,5630401D24Rik.3,other
324,5730403B10Rik,other
327,5730410I19Rik,other
328,5730410I19Rik.1,other
329,5730410I19Rik.2,other
333,5730469M10Rik,other
337,5730590G19Rik,other
340,5830415L20Rik,other
341,5830427D03Rik,other
342,5830457O10Rik,other
343,5830457O10Rik.3,other
345,5830472M02Rik.1,other
347,5930434B04Rik.3,other
351,6030429G01Rik,other
354,6330503C03Rik,other
358,6430510M02Rik,other
362,6430604K15Rik,other
363,6430706D22Rik,other
364,6530403A03Rik,other
365,6720458F09Rik,other
378,9130206N08Rik,other
380,9130213B05Rik,other
388,9630031F12Rik,other
389,9830163H01Rik,other
391,9930111J21Rik,other
392,A030007L17Rik.1,other
396,A3galt2.1,other
401,A430107P09Rik,other
403,A530082C11Rik,other
404,A630042L21Rik,other
405,A630077B13Rik,other
406,A730008H23Rik,other
407,A930005I04Rik,other
408,A930008G19Rik.1,other
409,A930025D01Rik.1,other
412,AA407659.1,other
413,AA408296.1,other
414,AA408296.2,other
416,AA415398,other
420,AB112350,other
421,AI316807,other
431,AU021838,other
436,AW548124.1,other
437,Aaas,other
438,Aaas.1,other
442,Abcd3.1,other
444,Abcf3,other
445,Abcf3.1,other
448,Abhd5,other
454,Acadl,other
457,Acads,other
458,Acads.1,other
462,Accn3.2,other
463,Acd,other
465,Acin1.2,other
471,Acot10,other
473,Acot11.1,other
478,Acsf3,other
482,Acsl6.1,other
486,Actl6b,other
490,Actr1b,other
491,Actr3b.1,other
493,Actr5.1,other
498,Adam15,other
499,Adam15.1,other
501,Adam4,other
502,Adam4.1,other
507,Adar.1,other
508,Adar.2,other
512,Adc,other
514,Adck1,other
515,Adck5,other
516,Adcy9,other
517,Adfp,other
518,Adh1,other
519,Adh1.1,other
524,Adora3.1,other
525,Adpgk,other
526,Adpgk.1,other
527,Adprh,other
529,Adprhl1.2,other
530,Adprhl2,other
533,Adssl1,other
534,Adssl1.1,other
540,Afmid.3,other
543,Agl,other
547,Agps.1,other
548,Agrn,other
554,Ahnak.3,other
556,Aifm2.1,other
561,Akap10,other
566,Akr1b3,other
570,Aktip,other
574,Aldh5a1,other
580,Alg12.1,other
581,Alg6,other
584,Alg8.3,other
587,Alkbh6,other
591,Als2.2,other
596,Amfr.1,other
597,Amhr2.2,other
603,Amn,other
605,Amz2,other
606,Anapc10,other
607,Anapc2,other
608,Anapc5.2,other
610,Ang,other
617,Ankrd23,other
628,Anln.1,other
629,Anp32a.1,other
632,Anxa1,other
637,Aoc2.2,other
640,Ap1s1,other
641,Ap1s1.1,other
645,Ap2s1,other
648,Ap3b1,other
649,Ap3b1.1,other
651,Apaf1,other
652,Apaf1.2,other
653,Apba3,other
655,Apbb1ip,other
662,Apoa1bp.1,other
663,Apob48r,other
664,Apob48r.1,other
667,Apoc4,other
669,Apof,other
672,Appl1,other
673,Aptx,other
676,Aqp11.1,other
682,Arf3,other
684,Arfgap2.2,other
686,Arfrp1,other
693,Arhgap12.1,other
695,Arhgap18,other
701,Arhgef15,other
707,Arl11,other
711,Arl4a,other
720,Armcx1,other
721,Armcx3,other
727,Arpc5.1,other
729,Arrb1,other
731,Arrb1.2,other
732,Arrb1.3,other
735,Ars2,other
736,Arsb,other
738,Artn,other
740,Asah1,other
741,Asah1.1,other
747,Asb2,other
