,gene,alpha,beta,rss,rmse,alpha_err,beta_err,model
0,0610007P08Rik.1,1.0,0.011500283787507315,0.661436547679365,0.27109583128877446,,0.004664945646118789,expo
1,0610007P14Rik,1.0,0.04460846720454017,0.12815973622067142,0.1353090305405009,,0.009620487922901063,expo
2,0610007P14Rik.1,1.0,0.03888250490185878,0.21503270509668992,0.17526824547234934,,0.010732771616106326,expo
3,0610007P14Rik.2,1.0,0.04619313812883833,0.14810164402625764,0.14545575862796498,,0.01075573852656864,expo
4,0610007P22Rik.1,1.0,0.0550477004730735,1.445970041807567,0.4909124229105715,,0.04707872893047558,expo
5,0610009B22Rik,1.0,0.04441343057440977,0.3523443338434983,0.265459727206783,,0.024567735850252962,expo
6,0610010E21Rik.1,1.0,0.05268226112846551,0.6125962835435094,0.31952993692388965,,0.029274803754475158,expo
7,0610010K14Rik,1.0,0.006570427414503108,1.1692352892656617,0.3419408266448541,,0.003566770570694426,expo
8,0610011F06Rik,1.0,0.021510329846640416,0.9708591496596195,0.3483638811752051,,0.011121727565584683,expo
9,0610025P10Rik,1.0,0.021888794180228342,0.5009320614760753,0.2502329068777914,,0.008114789999746994,expo
10,0610037D15Rik,1.0,0.014788468189393689,1.3523983321556496,0.41115665082721964,,0.009755995999418288,expo
11,0610037L13Rik,1.0,0.019691780343050833,0.44122652504720594,0.25106246378347646,,0.008547188287352544,expo
12,0610037P05Rik,1.0,0.00819349681716716,1.039018186663084,0.32233805029240403,,0.0038409123325325737,expo
13,0910001A06Rik.1,1.0,0.01954139734924801,0.5105302065729939,0.270060894342896,,0.009147155126923486,expo
14,1110001A07Rik,1.0,0.0268689594862415,1.7122316693919184,0.46263263900636087,,0.018245344028840333,expo
15,1110007A13Rik.1,1.0,0.06317682270776448,0.13338220931821612,0.13803840527611774,,0.014729737197381451,expo
16,1110007L15Rik,1.0,0.16252724921969444,0.12343398610583482,0.14343057908841872,,0.04597970396235414,expo
17,1110007L15Rik.1,1.0,0.1775022420866407,0.05192737477907844,0.0930299009092224,,0.03300499374471138,expo
18,1110007L15Rik.2,1.0,0.017915772215338802,0.6657208453484917,0.3083877071268039,,0.009879873177170113,expo
19,1110007L15Rik.3,1.0,0.11694382281043102,0.018073371570889354,0.054883773514110945,,0.012158566267770364,expo
20,1110007M04Rik,1.0,0.00731381080399281,3.7935079681659474,0.6492309953720417,,0.008515939138352418,expo
21,1110008P14Rik,1.0,0.010322064696886615,0.7515229715755107,0.2889680819697549,,0.004618227500186283,expo
22,1110014J01Rik,1.0,0.02855583364730748,0.5017803491802261,0.2361215198391206,,0.009553405517346656,expo
23,1110018G07Rik,1.0,0.015129466218704167,2.014352223312254,0.4730929229034837,,0.010094852027423254,expo
24,1110037F02Rik.1,1.0,0.0885039603591843,0.12893349857285769,0.1465909834499026,,0.02375891390543843,expo
25,1110038F14Rik,1.0,0.031824642837525834,0.2055733621160279,0.17136984320303428,,0.008586619615872277,expo
26,1110038F14Rik.1,1.0,0.01899043185393041,0.18886017413871725,0.13742640726538596,,0.0034331739927715137,expo
27,1110049B09Rik,1.0,0.00599623946559711,0.535811709480503,0.23147606992527392,,0.0023005053634355148,expo
28,1110059E24Rik,1.0,0.02274561002622824,0.2648003733743951,0.17152919200027184,,0.005411768386606025,expo
29,1110059E24Rik.1,1.0,0.018785597193954378,0.21342865896717417,0.16333579635492268,,0.004643741008211581,expo
30,1110059G10Rik,1.0,0.041145764398309276,0.5931058325844936,0.31440574437725466,,0.02264501424821423,expo
31,1190005I06Rik,1.0,0.06734119450119849,0.11818991420664483,0.15374648887479989,,0.020064958211153637,expo
32,1190005P17Rik.1,1.0,0.08569520188175386,0.29495529020672845,0.27154893214977316,,0.05178010327451408,expo
33,1190007F08Rik,1.0,0.005490462180762455,2.40586702413702,0.5862553105622426,,0.01195535716833216,expo
34,1200003C05Rik,1.0,0.02371239836055103,0.4780335549533056,0.23046656902738882,,0.007599417651852339,expo
35,1200003C05Rik.1,1.0,0.0168377395197804,0.3739920146186196,0.2038496217581915,,0.00478184337829753,expo
36,1200003C05Rik.2,1.0,0.015570450880192772,0.27735941999972014,0.17554974603599469,,0.003840123888588875,expo
37,1200003I07Rik.1,1.0,0.06305371311246816,0.24965148628304973,0.18885046476097345,,0.02010487786114046,expo
38,1200003I07Rik.3,1.0,0.036078191950497586,0.13927959230053444,0.13194676592310553,,0.007135569711522771,expo
39,1200003I07Rik.4,1.0,0.041708597210384786,0.07683519164119215,0.09800203546431584,,0.006263884689448101,expo
40,1200009F10Rik,1.0,0.01609255676168439,0.49736152834159114,0.23507954406531115,,0.005293953969629509,expo
41,1200013P24Rik,1.0,0.022875554684243352,0.3431878120189306,0.20711947398148328,,0.006992626758909621,expo
42,1200014J11Rik,1.0,0.019157376990789714,0.1797889498383682,0.14991203664081157,,0.004331554992696633,expo
43,1200016B10Rik,1.0,0.011732802313318821,2.135943062545891,0.46216264047907324,,0.0072192503472723315,expo
44,1200016B10Rik.1,1.0,0.008949895222903409,0.6894326505555428,0.2625704954018145,,0.003322656280836879,expo
45,1300010M03Rik.2,1.0,0.006207040875229627,1.593531260782128,0.42078382689427596,,0.005116588976474066,expo
46,1300018I05Rik,1.0,1.1058613199695815,0.018733419916005915,0.06843504203988976,,0.7249320113429156,expo
47,1500002O20Rik,1.0,0.016347779191455872,0.226351347471218,0.15044977483240646,,0.0032095299288389975,expo
48,1500010J02Rik,1.0,0.032034650679861644,0.2672642459109028,0.18277863862843177,,0.008664839115251299,expo
49,1500010J02Rik.1,1.0,0.031684390177574316,0.3524891768694907,0.19790266318726002,,0.009017941591995253,expo
50,1500011H22Rik,1.0,0.041768233648233885,0.07313162999867964,0.10221240489342324,,0.006758486971155845,expo
51,1500012F01Rik,1.0,0.043409566411691844,0.15879917234943863,0.1506173829606656,,0.010389471591347439,expo
52,1500012F01Rik.1,1.0,0.07051381592581707,0.0678118550018221,0.09842463033917453,,0.011974836530001344,expo
53,1500032D16Rik,1.0,0.014291408631667566,1.5257153000072083,0.4117328286923732,,0.008373865616972178,expo
54,1500032D16Rik.1,1.0,0.011754834718632107,2.0954161341192403,0.5117880584430483,,0.010496110145648413,expo
55,1500032D16Rik.2,1.0,0.017521714107970092,0.23641978056340943,0.16207672413719834,,0.003944300820524902,expo
56,1600012H06Rik.1,1.0,0.04632096768361821,0.17352309936907198,0.17006033212219715,,0.013694795994181712,expo
57,1600027N09Rik,1.0,0.011119923294009557,1.1529079998673193,0.4058338857687816,,0.010211707789630445,expo
58,1700007K13Rik,1.0,0.00815819400245237,0.25831672923690696,0.1607223473064362,,0.0019097093981985953,expo
59,1700012G19Rik,1.0,0.03894904740443152,0.5528205747861928,0.26287368040234477,,0.015515234500050398,expo
60,1700019D03Rik,1.0,0.11519883845532886,0.3572864114473305,0.2988671993742917,,0.07256922938442573,expo
61,1700019E19Rik,1.0,0.026998355664210077,0.13026305445071207,0.13641483709139982,,0.005897326526237683,expo
62,1700019G17Rik.2,1.0,0.02159578858062656,0.15420532644290597,0.1308966201256659,,0.00391256771289915,expo
63,1700019N12Rik,1.0,0.018122067171373893,0.5086799630733152,0.2521606539176253,,0.006963295217582251,expo
64,1700021C14Rik,1.0,0.01811361057144734,0.33510302914103435,0.19296028063971965,,0.004845088716111677,expo
65,1700023B02Rik,1.0,0.006235753917873754,1.3847115905245821,0.3922458965899073,,0.004779061679139844,expo
66,1700023B02Rik.1,1.0,0.005653777589773873,1.7948414482279216,0.4465723094649736,,0.005225143037663884,expo
67,1700023B02Rik.2,1.0,0.00782931054232264,0.40471311139792077,0.2120568873879315,,0.0028798612134694145,expo
68,1700025G04Rik,1.0,0.25302419298046547,0.0026059490597376794,0.025524248567478335,,0.014676984648206187,expo
69,1700025K23Rik,1.0,0.015390077663617253,0.1516157110402347,0.12313233167622332,,0.002471699134940678,expo
70,1700027D21Rik,1.0,0.00894565606739148,0.49125683729296454,0.2216431450085846,,0.0028038121040192317,expo
71,1700027J05Rik,1.0,0.028079171741317074,0.30073768910474186,0.18279851965870994,,0.0072569261986642625,expo
72,1700027N10Rik,1.0,0.009852466518925152,0.5093778165439837,0.23790236478764507,,0.0036897114394594728,expo
73,1700027N10Rik.1,1.0,0.009710458000440087,0.5552898591525741,0.24839257887299068,,0.003817374753444228,expo
74,1700029G01Rik,1.0,0.04018920837300294,0.5673448850551739,0.2663045448953073,,0.016299064314239425,expo
75,1700029P11Rik,1.0,0.016810699604813007,0.39095233388766587,0.2084206040911998,,0.0048819022455852505,expo
76,1700037C18Rik,1.0,0.004422853365360019,2.4466235470921207,0.49463355598787684,,0.004291363151235172,expo
77,1700045I19Rik,1.0,0.07029943112676496,0.158017385954482,0.17777366844079132,,0.024146131714230894,expo
78,1700047I17Rik1,1.0,0.02193135700920989,0.3632164530492535,0.20089147237286922,,0.006101265691527268,expo
79,1700047I17Rik1.1,1.0,0.017552351984163002,1.961212797582914,0.46681102500344634,,0.011378863158853765,expo
80,1700054N08Rik,1.0,0.6930967936911433,0.015260893483343379,0.061767494451659966,,0.18448099329897338,expo
81,1700065O13Rik.1,1.0,0.02606234738335576,0.6127171403675936,0.27674833792806997,,0.01058722725564789,expo
82,1700066B19Rik,1.0,0.027192574964554173,0.31645123424084165,0.1988879188892709,,0.007939073108756165,expo
83,1700067P10Rik,1.0,0.015016820675796709,0.6076793173185724,0.2465115245416677,,0.0048297912526486094,expo
84,1700088E04Rik,1.0,0.02449544383279304,0.6085617187285051,0.29485146835277326,,0.01176922755828748,expo
85,1700093K21Rik,1.0,0.011355097125313778,0.6065931669975259,0.25961363750293026,,0.004427334949264536,expo
86,1700102P08Rik,1.0,0.04687313782096736,0.02563391337778403,0.06051435883654158,,0.004549459179647282,expo
87,1700109H08Rik,1.0,0.04753869900092532,0.21960084070565672,0.17712015320746727,,0.013531299733545039,expo
88,1700109H08Rik.1,1.0,0.00724154057250455,1.2513854072982047,0.3537492625148786,,0.0039012639226620196,expo
89,1700113I22Rik,1.0,0.022253509551270794,0.09181950090646052,0.10713280362852251,,0.003526602979002028,expo
90,1700113I22Rik.1,1.0,0.02301055386777578,0.1571611400818764,0.1401611305256723,,0.004757885891058395,expo
91,1700123O20Rik.1,1.0,0.011645801655016469,0.813016970937971,0.30055817904876236,,0.005218635154045081,expo
92,1700127D06Rik,1.0,0.01955155997120548,0.36556958239949544,0.2015411682233504,,0.005449049479399697,expo
93,1810007P19Rik,1.0,0.024724131994130875,0.19679895837532832,0.1568434563407605,,0.005698680726424244,expo
94,1810009N02Rik,1.0,0.023323903961052203,0.2470849006098986,0.17574302995065644,,0.006041368423858049,expo
95,1810009O10Rik,1.0,0.013187238052449314,1.2542043184321465,0.37330421291669025,,0.00711608032293241,expo
96,1810014F10Rik,1.0,0.021468208624667435,2.9091334773606574,0.6030271011074727,,0.019218383653717034,expo
97,1810020G14Rik,1.0,0.015847524514174413,0.18612924157578395,0.1438089943006131,,0.003194843242365726,expo
98,1810020G14Rik.2,1.0,0.013806359931758843,0.9339507629231099,0.3416779849000938,,0.007739847724783247,expo
99,1810021J13Rik,1.0,0.014634035568993016,1.157595610645688,0.3586387242284184,,0.0074394713136535185,expo
100,1810021J13Rik.1,1.0,0.015171042393540347,1.2267481753068237,0.36919554820158557,,0.00789646227478678,expo
101,1810027O10Rik,1.0,0.0335986308687591,0.14250690572123065,0.13346671201147434,,0.006665970759731872,expo
102,1810030N24Rik,1.0,0.02572597789208101,0.1401356964615313,0.1247823422611154,,0.004494422006574988,expo
103,1810031K17Rik,1.0,0.10316907163095929,0.0632687551438638,0.10268784019530891,,0.019775242859606527,expo
104,1810033M07Rik,1.0,0.11092597510804922,0.09826459130716524,0.11082903010220586,,0.022565827771133876,expo
105,1810037I17Rik,1.0,0.02337992825269512,0.3360619477921071,0.20495790659062993,,0.007061493805111604,expo
106,1810044A24Rik,1.0,0.014244727210490945,0.2867665822520182,0.18932993102386708,,0.0043789498301353555,expo
107,1810046J19Rik,1.0,0.012145852036173455,0.8978595814878034,0.31585150897354763,,0.0056549464338601875,expo
108,1810048J11Rik.1,1.0,0.012583171844903032,0.8100174277657064,0.31820147465200926,,0.006795958113359783,expo
109,1810049H13Rik,1.0,0.010897643326075136,1.4496868178058784,0.4550803410711247,,0.011358115381742567,expo
110,1810054D07Rik,1.0,0.505489747276146,0.20882128365133948,0.17271830230230772,,0.2592355225085843,expo
111,1810073G14Rik,1.0,0.00046804320415937985,3.1200560993939304,0.6676243703711081,,0.011209242423666235,expo
112,2010001J22Rik,1.0,0.0061066137177311006,2.942653428017284,0.5718054669220297,,0.006904760013713145,expo
113,2010001J22Rik.1,1.0,0.011722366289711074,0.7229405362514054,0.28341969982722826,,0.004944331287245995,expo
114,2010001M09Rik,1.0,0.003568129642416837,3.096621147604523,0.6221556424646211,,0.008303517534331561,expo
115,2010005J08Rik,1.0,0.02804187383748244,0.5652914490992542,0.2658221795437822,,0.010948729563073684,expo
116,2010005J08Rik.1,1.0,0.07503748559574061,0.034884801149182555,0.06225824456709199,,0.008003044171194454,expo
117,2010007H12Rik.1,1.0,0.007895956335540973,2.301212760408139,0.5056582904610736,,0.006897873640551885,expo
118,2010111I01Rik,1.0,0.06969164507663311,0.4114955443675093,0.28687821261556595,,0.038649889574326496,expo
119,2010305A19Rik,1.0,0.021704797104421504,0.32316294771246534,0.20098599071591575,,0.006468473492244293,expo
120,2010305C02Rik,1.0,0.02241476159625258,0.3127860548361515,0.19773279155091839,,0.0065519857704530995,expo
121,2010305C02Rik.1,1.0,0.02367474463882537,0.26727702330078285,0.18278300772390702,,0.006372058266106699,expo
122,2010316F05Rik,1.0,0.012550678669353825,0.9876733735136635,0.3142727117510624,,0.005205664423954669,expo
123,2010321M09Rik,1.0,0.003500972787080793,3.259051490865899,0.6017614413689475,,0.006039207656994876,expo
124,2210012G02Rik,1.0,0.02430003243463922,0.15041667449146978,0.12927862867614867,,0.004376306596349357,expo
125,2210012G02Rik.1,1.0,0.17182112868027088,0.15350752172377963,0.1599518269791354,,0.05465263339682399,expo
126,2210012G02Rik.2,1.0,0.02234151579837922,0.06629998825275024,0.08582928032680161,,0.0026574966679727505,expo
127,2210018M11Rik.1,1.0,0.00460195495658104,2.215121614312926,0.4961094877267994,,0.005389328861358163,expo
128,2210021J22Rik,1.0,0.018175824842775877,0.45294441984975076,0.2243371519857632,,0.0056513282507519415,expo
129,2210404O07Rik,1.0,0.008766171777003642,1.1275516748259131,0.35395412050872,,0.0051154010986766115,expo
130,2210417D09Rik,1.0,0.02350428082218902,0.3989852171819586,0.2105509221019832,,0.00687772975899326,expo
131,2210418O10Rik.1,1.0,0.016253843315036428,1.7246849933704242,0.4643119901222701,,0.01178987827852274,expo
132,2310001A20Rik,1.0,0.01807181548613107,0.6125880152997129,0.29582524167867197,,0.009528523684023316,expo
133,2310002B06Rik.1,1.0,0.06687544745545783,0.019912248318292407,0.057608229039337204,,0.006817438238604275,expo
134,2310003C23Rik.1,1.0,0.08672772507531662,0.8506546439750158,0.46115470397010366,,0.0887155380560566,expo
135,2310003F16Rik,1.0,0.0050438801829252936,2.291648421218862,0.5046063835878924,,0.005656319948630589,expo
136,2310003L22Rik.1,1.0,0.008202797008138245,1.2943283522777795,0.35976775178964826,,0.004290119291439438,expo
137,2310004I24Rik,1.0,1.508519368924293e-09,3.361439635900138,0.6111409762712636,,0.004722685657166986,expo
138,2310005E10Rik.1,1.0,0.008323694144830996,2.7158888847532694,0.5493318046857038,,0.007710353360805626,expo
139,2310007D09Rik,1.0,0.0274755829753947,0.17347336266235897,0.13883377857566018,,0.005378825637601405,expo
140,2310007H09Rik,1.0,0.028668237534920947,0.5223171908290066,0.22854259796130055,,0.009131739648634625,expo
141,2310008H04Rik,1.0,0.03259523744125291,0.14697997069012697,0.14490389459920716,,0.007427871496145325,expo
142,2310008H09Rik.1,1.0,0.5394784777180492,0.01494308178733862,0.0611209493286439,,0.11029088711265031,expo
143,2310008M10Rik,1.0,0.026305422828763546,0.5012690567187081,0.2676001966470311,,0.011318332965959457,expo
144,2310009B15Rik,1.0,0.07572538027105466,0.5240741306021398,0.32375117933442027,,0.04719765175614599,expo
145,2310011J03Rik,1.0,0.015371485253065205,0.9530766202509953,0.3689902476936204,,0.010817058134153523,expo
146,2310016C08Rik,1.0,0.03491617518254504,0.2999248286127403,0.20699372958506335,,0.011349609934420612,expo
147,2310016C08Rik.1,1.0,0.04426105633587423,0.25812995480862677,0.19203048671969725,,0.013534823715132243,expo
148,2310016E02Rik,1.0,0.045255046988642925,0.05023152581166126,0.08471087450149922,,0.006120811727299733,expo
149,2310016E02Rik.2,1.0,0.016638028104426057,0.4463890882315986,0.23621734912776798,,0.006103851372605837,expo
150,2310022B05Rik,1.0,0.02209161679884608,0.4301063922680329,0.24787853945834984,,0.009145849637095735,expo
151,2310033P09Rik,1.0,0.00360124689088001,2.7866950544261244,0.5564465687063987,,0.005625213272507864,expo
152,2310033P09Rik.1,1.0,0.012147435625902585,0.6877004639317986,0.2622404362282443,,0.004220761061804966,expo
153,2310036O22Rik,1.0,0.0169671613397368,0.25989958000122043,0.1699344906463862,,0.004014298623785612,expo
154,2310037I24Rik,1.0,0.011417069537586515,0.6650950178004233,0.27184452619515675,,0.004653776906364494,expo
155,2310037I24Rik.1,1.0,0.014625099538297813,0.6894008936227903,0.2935559771199503,,0.006912370287827085,expo
156,2310037I24Rik.2,1.0,0.012837674272498075,0.5387269655679262,0.24466007383667973,,0.00456746847966429,expo
157,2310038H17Rik,1.0,0.013881788308980273,0.7916690136038821,0.3362968530509662,,0.009350546764108852,expo
158,2310039H08Rik,1.0,0.00802081940475324,1.578315364459261,0.3972801737387937,,0.004668568332740827,expo
159,2310044G17Rik,1.0,0.06476167357019726,0.23705562484926368,0.19876939102439947,,0.0227041474731014,expo
160,2310044H10Rik,1.0,0.014529212240715078,0.4529656371163081,0.22434240623463356,,0.00462573564558064,expo
161,2310046K01Rik,1.0,0.10546771554699509,0.014514923698583301,0.053879353556967075,,0.010991258631406558,expo
162,2310046O06Rik,1.0,0.046581391354964696,0.22560328040418276,0.17952448317079317,,0.013401336865992807,expo
163,2310047D13Rik,1.0,0.03131666120183658,0.13936070349774982,0.14109809328353792,,0.006963602474446284,expo
164,2310047M10Rik,1.0,0.011264861828857631,1.2237789698897632,0.36874847945294986,,0.006253297719397816,expo
165,2310056P07Rik,1.0,0.068204141208079,0.09985167735356087,0.11172045322677092,,0.012910073595313307,expo
166,2310061C15Rik,1.0,0.048456347272538725,0.2813717651160565,0.23722215963777774,,0.023430015017330684,expo
167,2310061F22Rik,1.0,0.014550552183300177,0.9729812074425062,0.3287993659500689,,0.006787868487230295,expo
168,2310061F22Rik.1,1.0,0.010032489755249554,1.8030227451142138,0.44758894151693024,,0.007022387520533487,expo
169,2400003C14Rik.1,1.0,0.01279287633048222,0.2869702358485604,0.17856534311268568,,0.0033246223562510752,expo
170,2410001C21Rik,1.0,0.0071451340718226095,0.8210077341522047,0.32035287850903665,,0.0051910391652120365,expo
171,2410001C21Rik.1,1.0,0.0036225884131415973,1.427851213646768,0.377869185518847,,0.0030539296184637224,expo
172,2410002F23Rik.1,1.0,0.011748756530936754,1.7389466085601106,0.498418442756702,,0.012832241984776185,expo
173,2410002F23Rik.2,1.0,0.012451742177437592,2.472095588581042,0.5558884317672299,,0.011796629112588363,expo
174,2410002I01Rik,1.0,0.02534104815140834,0.33131751673839893,0.2035059939959997,,0.0075731799577912085,expo
175,2410003P15Rik,1.0,0.007377932424674855,1.6723612108382402,0.43106601851150367,,0.0056788720188937535,expo
176,2410004A20Rik,1.0,0.05603777585125815,0.5511421833966802,0.2624743281248378,,0.02390445472897098,expo
177,2410004L22Rik,1.0,0.026606220654783356,0.8327693945098742,0.40811013084947406,,0.027743342632088608,expo
178,2410008K03Rik,1.0,0.007318332345024418,1.4579411403641003,0.42689886688244155,,0.006981115134730576,expo
179,2410018G20Rik,1.0,0.0389690266115114,0.24822668855951074,0.17614861926776162,,0.010402735402176028,expo
180,2410018L13Rik.1,1.0,0.0344356983495112,0.11811590120113431,0.11455998002072215,,0.00575219930427112,expo
181,2410022L05Rik,1.0,0.049422671002552175,0.17233118626689156,0.18565084770444307,,0.018618486270250104,expo
182,2410025L10Rik.1,1.0,0.05027510875435577,0.11130822293072622,0.12609986004904788,,0.01027383236270143,expo
183,2410091C18Rik.1,1.0,0.0508502955866016,0.7703969317808775,0.3317479533322329,,0.027387756138785663,expo
184,2410129H14Rik,1.0,0.0219351803300016,0.35174095781949566,0.2096845719823873,,0.0068128477490351615,expo
185,2410131K14Rik,1.0,0.010527762691411422,1.130198818168612,0.3758654709747578,,0.007251798021150532,expo
186,2410166I05Rik,1.0,0.02003092014286996,0.4328210561760845,0.21929712370208915,,0.00607331560020875,expo
187,2500003M10Rik,1.0,0.055413727623731784,0.05206495849575682,0.08624297776445075,,0.007874230691447034,expo
188,2500003M10Rik.1,1.0,0.01204671976488635,0.37661684978994503,0.1940661871089204,,0.0031009868413466894,expo
189,2500003M10Rik.2,1.0,0.05566585905169045,0.03883257573133837,0.07448161396453909,,0.006836947405935205,expo
190,2510003E04Rik,1.0,0.022330564181691905,0.42371774131662976,0.2169786833658576,,0.006714780471659816,expo
191,2510009E07Rik.2,1.0,0.2658222893220145,0.014152610173319261,0.044964446547592726,,0.02576041082902232,expo
192,2510012J08Rik.1,1.0,0.008588656350672194,1.5407791504542867,0.41376041785532075,,0.005910217217418266,expo
193,2510039O18Rik,1.0,0.03295213406902585,0.36802015833440904,0.24766245790538144,,0.01477061319009893,expo
194,2510048L02Rik,1.0,0.03181989516936005,0.3808801586947566,0.23326262289982955,,0.01168615700125007,expo
195,2610020H08Rik,1.0,0.2264518769959568,0.006018316784518434,0.038788905580457,,0.019421201948572688,expo
196,2610020O08Rik,1.0,0.007362422312990061,1.0971835650447186,0.37033491008894887,,0.0060702213294204525,expo
197,2610021K21Rik,1.0,0.016154656317881513,0.3503083050044044,0.2092571100955725,,0.005289455906879125,expo
198,2610021K21Rik.1,1.0,0.024117148505698516,0.16533850631592967,0.1437613066492205,,0.005100388649975307,expo
199,2610024G14Rik.1,1.0,0.004711537661646576,2.8023512901456096,0.5580074959816709,,0.006109215924941684,expo
200,2610027C15Rik,1.0,0.0046049922007239475,1.761548201517229,0.44241109609316853,,0.004807033661798383,expo
201,2610027C15Rik.1,1.0,0.00617946392654549,2.919959508492859,0.5695963003637712,,0.006912889428716786,expo
202,2610028A01Rik,1.0,0.3394247459232293,0.0012338182862897064,0.017562874809450377,,0.01499570626881533,expo
203,2610029G23Rik,1.0,0.009391250038169582,2.6051495483160187,0.5380158556436809,,0.008099501137101159,expo
204,2610029G23Rik.1,1.0,0.25242351256006196,0.007308552051507795,0.038232321539524106,,0.021213838933875247,expo
205,2610204K14Rik,1.0,0.0069293797892183775,1.8285069304328436,0.5110922380315714,,0.011006722256911539,expo
206,2610207I05Rik.1,1.0,0.08663739295516353,0.02788996103105311,0.07468595722229596,,0.012435831132862856,expo
