,gene,best_fit
520,Adar,other
521,Adar.1,other
524,Adat1,other
528,Adck1,other
529,Adcy9,other
530,Adfp,other
534,Adipor1,other
536,Adora1.1,other
539,Adpgk,other
540,Adpgk.1,other
541,Adprhl1,other
542,Adprhl1.2,other
543,Adprhl2,other
552,Afg3l1.2,other
553,Afmid.3,other
555,Aggf1.3,other
556,Agl,other
558,Agpat3,other
561,Agrn,other
573,Ak2.2,other
575,Akap10,other
577,Akap2.2,other
581,Akr1b8,other
584,Akr1e1,other
585,Akt3.1,other
596,Alg12.1,other
598,Alg5,other
599,Alg6,other
600,Alg8.1,other
602,Alg8.3,other
607,Als2,other
617,Amica1,other
618,Amigo1,other
622,Amn,other
625,Anapc10,other
626,Anapc2,other
627,Anapc5.2,other
628,Anapc7,other
629,Ang,other
638,Ankrd35,other
642,Ankrd40.2,other
644,Ankrd49,other
646,Ankrd54.2,other
651,Anp32a.1,other
653,Anxa1,other
658,Aof1.3,other
659,Ap1s1,other
660,Ap1s1.1,other
661,Ap1s1.2,other
664,Ap2s1,other
665,Ap2s1.1,other
666,Ap2s1.2,other
672,Apaf1.2,other
675,Apbb1ip,other
676,Apbb3,other
677,Aph1b,other
678,Apip.1,other
682,Apoa1bp,other
683,Apoa1bp.1,other
686,Apobec3,other
687,Apoc4,other
688,Apoe,other
693,Aptx,other
694,Aqp1,other
700,Ar,other
703,Arf3,other
705,Arfgap2.2,other
707,Arfrp1,other
708,Arfrp1.1,other
709,Arfrp1.2,other
712,Arhgap1.2,other
714,Arhgap12.1,other
716,Arhgap18,other
717,Arhgap20.1,other
723,Arhgef2,other
724,Arhgef2.1,other
725,Arhgef3,other
727,Arhgef9.1,other
728,Arl11,other
734,Arl8a,other
742,Armcx5,other
745,Arntl,other
748,Arpc5.1,other
751,Arrb1.2,other
752,Arrb1.4,other
753,Arrdc4,other
754,Ars2,other
755,Art2b,other
760,Asah1.1,other
763,Asb1.3,other
767,Asb3,other
780,Aste1,other
781,Atad2.1,other
783,Ate1,other
785,Atf2.1,other
787,Atf7.1,other
788,Atf7.2,other
790,Atg2b.1,other
795,Atg7,other
797,Atn1,other
799,Atp11b.1,other
801,Atp13a1,other
803,Atp1a1,other
806,Atp2a1,other
807,Atp2a2,other
808,Atp2a2.1,other
810,Atp2b4.1,other
812,Atp2c1,other
815,Atp5f1.1,other
817,Atp5j,other
821,Atp6v0a2,other
822,Atp6v0e2,other
831,Atxn2,other
832,Atxn2l,other
833,Atxn7l1,other
835,Aup1,other
838,Aven,other
844,Axl,other
845,B230120H23Rik.5,other
850,B230340J04Rik,other
851,B2m.1,other
