,gene,p,comp,f-test
0,0610007P14Rik,0.008640465671127417,expo_gamma,sig
1,0610009B22Rik,0.9713384692314936,expo_gamma,ns
2,0610009O20Rik,0.21270989625147252,expo_gamma,ns
3,0610010B08Rik,0.4706370118771982,expo_gamma,ns
4,0610010B08Rik _2,1.0,expo_gamma,ns
5,0610012G03Rik,0.7036659482460275,expo_gamma,ns
6,0610012G03Rik_2,7.694294762250475e-05,expo_gamma,sig
7,0610031J06Rik,4.4667282289578836e-06,expo_gamma,sig
8,0610037L13Rik_1,5.87668802509711e-11,expo_gamma,sig
9,0610037L13Rik_3,0.02142757739319978,expo_gamma,sig
10,1110004E09Rik,0.0002114813374847202,expo_gamma,sig
11,1110004E09Rik_1,0.016276808916558694,expo_gamma,sig
12,1110004E09Rik_2,0.00033542784811968485,expo_gamma,sig
13,1110004E09Rik_3,0.05481888455707029,expo_gamma,ns
14,1110004F10Rik,7.402968947411992e-06,expo_gamma,sig
15,1110007C09Rik,7.835570303704742e-09,expo_gamma,sig
16,1110008F13Rik,0.9999831788900325,expo_gamma,ns
17,1110037F02Rik_1,0.3001137898588282,expo_gamma,ns
18,1110051M20Rik,1.2057018750066817e-07,expo_gamma,sig
19,1190002N15Rik,0.043758772534437496,expo_gamma,sig
20,1190002N15Rik_1,0.22862311421067627,expo_gamma,ns
21,1190005I06Rik,1.0,expo_gamma,ns
22,1200003I10Rik,0.9999999037469034,expo_gamma,ns
23,1200014J11Rik,2.0625792110484653e-05,expo_gamma,sig
24,1200015M12Rik,0.13217615948058103,expo_gamma,ns
25,1600012H06Rik,7.158996937484119e-07,expo_gamma,sig
26,1600014C10Rik,0.1788654311336879,expo_gamma,ns
27,1700017B05Rik,1.1102230246251565e-16,expo_gamma,sig
28,1700020I14Rik,0.12050305186131238,expo_gamma,ns
29,1700021F05Rik,0.03337008345586223,expo_gamma,sig
30,1700052N19Rik,0.01436151055931123,expo_gamma,sig
31,1700071K01Rik,5.766710986510049e-07,expo_gamma,sig
32,1700071K01Rik _1,3.643685753118575e-08,expo_gamma,sig
33,1700094D03Rik,1.0,expo_gamma,ns
34,1700097N02Rik,1.3172851442977418e-07,expo_gamma,sig
