,gene,best_fit
2,1110017D15Rik,other
3,1110032A03Rik,other
5,1110051M20Rik,other
6,1110059G10Rik,other
8,1700003F12Rik,other
9,1700010I14Rik,other
16,1810055G02Rik,other
17,2210016F16Rik,other
24,2610507B11Rik,other
26,2700081O15Rik,other
31,4930453N24Rik,other
38,9130008F23Rik,other
40,A430033K04Rik,other
41,AB124611,other
42,AI413582,other
43,Aak1,other
44,Aamp,other
45,Aar2,other
50,Abcb6,other
54,Abcd2,other
56,Abhd10,other
61,Abt1,other
66,Acads,other
67,Acadvl,other
68,Acap1,other
70,Acnat1,other
71,Acot10,other
76,Actr3,other
77,Actr6,other
80,Acyp1,other
83,Adam15,other
85,Adck2,other
90,Adgrb2,other
91,Adgrd1,other
92,Adgrg5,other
106,Agfg1,other
111,Agps,other
119,Akap9,other
120,Akr7a5,other
121,Alas1,other
124,Ammecr1l,other
125,Amn,other
127,Amz2,other
131,Ankrd13a,other
135,Ankrd44,other
136,Ankrd46,other
139,Ankrd54,other
140,Ankrd55,other
141,Ano6,other
147,Ap5m1,other
148,Apex1,other
150,Apln,other
151,Aplp2,other
152,Apoc4,other
153,Apoe,other
154,Apof,other
155,Apol9a,other
163,Arfgef2,other
164,Arfrp1,other
165,Arglu1,other
168,Arhgap9,other
169,Arhgef1,other
174,Arid5a,other
180,Arl4d,other
182,Arl5c,other
183,Arl6ip5,other
184,Arl6ip6,other
185,Armcx2,other
187,Armcx4,other
191,Arrdc1,other
194,Arxes2,other
200,Aspscr1,other
202,Aste1,other
203,Atad2b,other
204,Atad3a,other
205,Atcay,other
207,Atf3,other
210,Atg16l2,other
215,Atp1a3,other
217,Atp2a3,other
221,Atp6v0d1,other
225,Atp6v1g1,other
226,Atp9a,other
228,Atrip,other
232,Atxn3,other
233,Atxn7l3,other
234,Atxn7l3b,other
235,Auh,other
239,Axin1,other
241,Aym1,other
244,B230307C23Rik,other
248,B4galnt1,other
251,B4galt4,other
252,B4gat1,other
253,BC003965,other
260,Bcas3,other
271,Bdh1,other
273,Bet1l,other
278,Bicdl1,other
279,Bicral,other
280,Bin1,other
284,Bloc1s1,other
292,Bricd5,other
296,Bsdc1,other
298,Btbd2,other
299,Btbd9,other
300,Btd,other
302,Btg2,other
304,Bud23,other
306,Bysl,other
307,Bzw2,other
310,C1qbp,other
312,C9orf72,other
313,Cacna1d,other
314,Cacna1g,other
315,Cacnb3,other
317,Cacul1,other
318,Cacybp,other
324,Car1,other
326,Carmil2,other
330,Cask,other
337,Cbx2,other
338,Cbx7,other
343,Ccdc173,other
345,Ccdc66,other
350,Cckar,other
354,Ccn4,other
357,Ccnh,other
358,Ccni,other
360,Ccr3,other
363,Ccsap,other
364,Cct4,other
366,Cd164,other
369,Cd247,other
382,Cd84,other
384,Cdadc1,other
385,Cdc14b,other
386,Cdc16,other
387,Cdc23,other
390,Cdc42ep3,other
391,Cdc42se2,other
392,Cdca4,other
393,Cdk14,other
399,Cdr2,other
402,Cebpd,other
409,Cep162,other
416,Cep85l,other
419,Ces2b,other
423,Cfap77,other
425,Cgrrf1,other
427,Chd4,other
428,Chd7,other
429,Chic1,other
434,Chrac1,other
435,Chrnb4,other
436,Chrne,other
440,Churc1,other
443,Cish,other
445,Cldnd2,other
446,Clec11a,other
447,Clec2d,other
448,Clec2i,other
450,Cln3,other
462,Cnppd1,other
466,Col15a1,other
467,Col5a3,other
472,Cops7a,other
476,Coq5,other
482,Cpne7,other
483,Cpsf3,other
486,Cramp1l,other
495,Crybg1,other
497,Csf2rb2,other
499,Csrp2,other
500,Csrp3,other
501,Cstf1,other
502,Ctdspl,other
504,Ctnnbip1,other
505,Ctnnbl1,other
506,Ctsc,other
512,Cuedc2,other
517,Cutc,other
520,Cxcl2,other
524,Cxxc5,other
525,Cyb561a3,other
529,Cyp27a1,other
531,Cystm1,other
532,D030056L22Rik,other
535,D3Ertd751e,other
537,D630003M21Rik,other
539,Daam1,other
545,Dazap1,other
549,Dcaf8,other
553,Ddit3,other
558,Ddx56,other
559,Ddx58,other
