,mean1,mean2,SD,chisqr,aic,bic,redchi,success,gene,rmse
1110,22.025352866943617,22.000428064074534,1.7317353825067883,0.13123533836476334,-16.935135364051618,-17.559856956367454,0.043745112788254444,True,Ccdc120,0.14789373345117507
1111,12.362310450618676,48.32895620925782,1.1865279814614438,0.20602799711022662,-32.823283041192276,-31.91552776221014,0.029432571015746662,True,Ccdc123,0.1435367538682085
1112,12.003780102666948,59.93109551895829,2.1230569602109894,0.1674210776018692,-24.93347807146099,-24.695153446421482,0.03348421552037384,True,Ccdc123.1,0.14466386798448896
1113,111.53962605787596,4.816529855500278,0.04858046132634741,0.3048476139801409,-7.986905829791262,-9.158592092488961,0.15242380699007044,True,Ccdc124,0.24692007370002986
1114,70.84939486705063,74.36684715004826,3.0566163976199103,1.7489230716404522,-8.744019298171615,-8.152345566162957,0.29148717860674206,True,Ccdc124.1,0.44082285074372907
1115,115.58340194343934,60.0,0.9040939633509215,1.4969345374264011,-10.144246818260612,-9.552573086251954,0.24948908957106686,True,Ccdc134,0.40783092049775305
1116,45.18344036023004,43.61011489405786,36.81944931819662,0.20865831434094556,-27.87853621626789,-27.28686248425923,0.03477638572349093,True,Ccdc135,0.15226377490721144
1117,94.37092229970875,4.289537791635212e-07,72.61291702572589,0.3950230533392423,-26.3139624589395,-25.406207179957363,0.056431864762748904,True,Ccdc14,0.19875186875580372
1118,49.71363668902032,34.74970182162538,1.5395292850367004,0.06748140114410836,-32.20275839485622,-31.96443376981671,0.013496280228821673,True,Ccdc18,0.09184320956398216
1119,23.349094031777657,49.412894809977914,1.971536841972804,0.012410057859743008,-53.27825335287924,-52.68657962087058,0.0020683429766238347,True,Ccdc18.1,0.03713347974199595
1120,67.09240640086878,60.545403107046866,0.32207013350143976,0.6915835308892064,-17.093963242655256,-16.502289510646598,0.11526392181486773,True,Ccdc18.2,0.27720500454220726
1121,38.49716823876896,38.42170474808331,4.168020966065017,0.07927381215874166,-30.91431187325037,-30.675987248210863,0.015854762431748333,True,Ccdc23,0.09954509791970023
1122,45.480528890970355,45.47436313663489,1.4680491070416468,1.3185150689560503,-14.260789373850102,-13.353034094867965,0.18835929556515005,True,Ccdc28b,0.3631136280775001
1123,32.20423831389825,98.07772322001155,7.714684225570473,0.38982946883008796,-26.446309878882936,-25.5385545999008,0.05568992411858399,True,Ccdc28b.1,0.19744099595324371
1124,15.845623608315261,15.845616629951692,0.4546414641966423,0.214498389372511,-9.744454809146095,-10.916141071843795,0.1072491946862555,True,Ccdc44,0.2071223741523407
1125,10.563328273369464,25.723859904859495,3.2091506835377706,0.5614287705692806,-8.214179026192248,-8.838900618508083,0.18714292352309356,True,Ccdc47,0.30589452718469284
1126,0.0005237204161079312,41.52320882270668,69.76292928130017,0.7614581107767996,-19.751052099828982,-18.843296820846845,0.10877973011097138,True,Ccdc49,0.2759453045037729
1127,14.0265767278143,14.26807523028393,4.625428220893624,0.057874247338776774,-16.294603420199728,-17.466289682897425,0.028937123669388387,True,Ccdc5,0.10758647437180639
1128,12.34734391266426,3.0926338242415508,1.4167458258519006,0.012733668451484473,-38.16591118281957,-38.32818073565363,0.0031834171128711183,True,Ccdc50,0.04265085571321178
1129,9.585648611983459,9.532223629465122,7.464978812161998,0.022028509467736296,-27.64306349333345,-28.267785085649287,0.007342836489245432,True,Ccdc50.1,0.0605922292428882
1130,119.43614796548478,2.9162034287830307,0.4489575242172694,0.6404435911024339,-7.424122205096911,-8.048843797412745,0.21348119703414462,True,Ccdc58,0.32671179733378514
1131,72.85284178538265,72.27317083553575,63.05899521924494,0.8787115404093949,-14.938708623595062,-14.347034891586404,0.14645192340156582,True,Ccdc66,0.3124653830443364
1132,2.068983646581053,19.62547472784226,0.4279374153094928,0.031903882253366524,-19.272327441489395,-20.444013704187093,0.015951941126683262,True,Ccdc93.1,0.07987976246004556
1133,33.36019717721624,73.33063266120885,1.51362355112461,0.22586290575755663,-31.904121684594372,-30.996366405612235,0.03226612939393666,True,Ccdc94,0.15028735999995363
1134,90.5128856654,14.22435233922512,0.22357635021855726,0.2855033594556661,-8.314696977346903,-9.486383240044603,0.14275167972783304,True,Ccdc98,0.2389574687912751
1135,19.74281078305917,19.74281078305917,0.01788703538480041,0.9337049227697556,-2.3901636580767995,-3.561849920774499,0.4668524613848778,True,Ccdc99,0.43213537757738735
1136,13.79324910042512,35.66559844768641,1.0746913068209352,0.3569310609924557,-27.32797715307707,-26.420221874094935,0.05099015157035081,True,Cchcr1,0.18892619220014353
1137,28.743910397354597,28.74391030396244,0.0013987822693406482,0.7825264345377507,-6.221922265257708,-6.846643857573543,0.2608421448459169,True,Ccl17,0.3611385778658359
1138,33.08091496406183,2.7706664638526535,2.9289891847426586,0.11340690899219749,-28.049716042936844,-27.811391417897337,0.0226813817984395,True,Ccl24,0.11906243582265855
1139,83.37161110570587,110.4285834238833,0.5453049953693667,2.3150277003155204,-3.920159109073335,-3.6818344840338284,0.46300554006310407,True,Ccl27,0.5379390881312122
1140,3.382637961721171,3.3884609720697423,3.297183844909285,0.09076888781520233,-14.044383048661473,-15.216069311359172,0.045384443907601164,True,Ccl4,0.13473595497505655
1141,32.73507985986596,33.021344128057486,7.040899005260487,0.03191163948951029,-31.73486227362435,-31.897131826458413,0.007977909872377573,True,Ccl5,0.06751892802287825
1142,10.28710508025573,10.287105080255742,0.0010649783309724103,0.6540587481097037,-4.169980075397472,-5.341666338095171,0.32702937405485183,True,Ccl9,0.3616790699251765
1143,97.82677280065084,19.56916747270053,4.829781261716071,0.0209124804692158,-55.6999423959239,-54.79218711694176,0.002987497209887971,True,Ccna2,0.04573016561222559
1144,18.115681211536263,18.08152659988184,5.11667465736953,0.009442422677946977,-63.65127785132057,-62.743522572338435,0.0013489175254209967,True,Ccnb1,0.030728525311096492
1145,20.43430919957192,20.417796003180694,4.3495940406351465,0.013263280114763487,-60.25341048671649,-59.34565520773435,0.0018947543021090695,True,Ccnb1.1,0.03641878651844881
1146,69.54463141516513,98.52921630451033,1.8165543612458812,1.404109596217162,-13.631817304532149,-12.724062025550012,0.20058708517388027,True,Ccnc.1,0.3747145041517824
1147,108.7845078103006,0.926822417883213,0.24082837375316024,0.3307484710607765,-3.9707658390432083,-5.811882755683537,0.3307484710607765,True,Ccnd2,0.28755367805888715
